"id","survey_lang","purpose"
"s15551","rum","cred ca acest lucru se refera la atentia participantilor si capacitatea de intelegere."
"s15553","rum","Posibil de a vedea in cele trei povestioare corelatia dintre a crede ( ceva posibil despre ceva/cineva) si a stii ( a cunoaste ceva sigur despre ceva/cineva)."
"s15554","rum","Testarea atenției și a capacității de concentrare."
"s15556","rum","Consider ca scopul studiului a fost sa determine masura in care folosirea unui anumit limbaj/a anumitor termeni cu privire la certitudine, influenteaza raspunsul participantilor."
"s15558","rum","Atentia "
"s15562","rum","Probabil ca cercetatorii doresc sa cerceteze legatura dintre atentie si procesele cognitive"
"s15563","rum","Studiul limbajului"
"s15571","rum","Evaluarea atenţiei la detalii."
"s15576","rum","Are legatura cu felul cum interpretam situatii si luam decizii, pe baza informatiilor pe care le avem la dispozitie (acestea putand fi incomplete, neactualizate)"
"s15579","rum","Atentie, perceptie, preconceptii - probabil un studiu in aceasta directie"
"s15586","rum","pot fi multiple: nivelul de stres asociat situatiilor conflictuale de raspuns (acolo unde nu sunt suficiente informatii), in ce masura gradul de definire a scopului unui studiu si modalitatea de formulare a intrebarilor creste sau scade stresul asociat completarii acestuia, etc"
"s15588","rum","Evaluarea atenției"
"s15591","rum","nivelul de inteligenta, durata de memorare "
"s15593","rum","Verificarea intelegerii sensului cuvintelor 'a crede' si 'a sti'"
"s15595","rum","evaluarea perceptiei "
"s15596","rum","atentia distributiva si gandirea critica"
"s15597","rum","Scopul studiului este evaluarea gradului de intelegere a unui text si a diferentierii dintre conceptele """"""""a sti"""""""" si """"""""a crede"""""""" care se refera la anumite actiuni."
"s15598","rum","Nu mi-e foarte clar, dar aș fi curioasă să aflu."
"s15602","rum","Modul de percepere asupra unor lucruri"
"s15604","rum","diferentele intre a crede ceva si a sti cu siguranta"
"s15606","rum","Scopul este de a verifica si a analiza scenariile date la un nivel psihologic"
"s15608","rum","De a identifica masura in care putem verifica ceea ce ne spun ceilalți, sau dăm valoare absolută de adevăr, fără a face propriile verificări"
"s15609","rum","Testarea atenției"
"s15613","rum","Nu stiu exact. "
"s15615","rum","atentia"
