"id","survey_lang","purpose"
"s19687","rus","TEST"
"s19690","rus","TEST"
"s19691","rus","TEST"
"s19727","rus","TEST"
"s19745","rus","test"
"s19751","rus","TEST"
"s20114","rus","TEST"
"s21231","rus","не знаю"
"s21241","rus","не знаю"
"s21256","rus","не знаю"
"s21260","rus","не знаю"
"s21263","rus","проверить на логику"
"s21269","rus","Цель - выяснить сколько человек делают выводы основываясь на фактах, а сколько на личных представлениях - бездоказательно."
"s21300","rus","ЦЕЛЬ ИССЛЕДОВАНИЯ"
"s21305","rus","визуальное восприятие обстановки с учетом анализа этой обстановки мозгом"
"s21331","rus","нет"
"s21333","rus","Исследование о том, как люди делают выводы не имея точных знаний и опираются только на свои ограниченные убеждения и личный опыт "
"s21336","rus","Понять когнитивные искажения"
"s21338","rus","как трактуется ситуация со стороны """"""""есть"""""""" и """"""""кажется"""""""""
"s21339","rus","не могу оставить поле пустым))) стоит валидация на заполнение"
"s21341","rus","Определить, какие факторы влияют на реальность восприятия той или иной ситуации"
"s21358","rus","что-то о манипуляции доверием, фактами?"
"s21361","rus","Идентификация факторов, влияющих на восприятие результатов когнитивной деятельности персонажей истории (как результата осознанной деятельности или как результата стечения обстоятельств), и определение вклада этих факторов. "
"s21365","rus","Понять, как восприятие отражет реальность и где тут ложь"
"s21382","rus","Выявление объективного мышления"
"s21388","rus","Оценка того, какое мнение люди могут считать обоснованным"
"s21390","rus","Определить то как люди воспринимают понятия веры и знания на опосредованных ситуацях и понимание границ того что люди готовы относить к тому или иному понятию."
"s21397","rus","Оценка представлений о вере и знании как о способах познания объективной реальности"
"s21944","rus"," возможно разграничение понятия знание и кажется "
"s21948","rus","Возможно данное иследование проведено для того, чтобы понять как мыслят люди, какие логические цепочки они способны составлять в своей голове. "
"s21949","rus","Мышление людей "
"s21951","rus","не знаю"
"s21954","rus","Возможно, это исследование направлено на исследование процесса принятия решений людьми, а также на связь с этого процесса с обьективно присутствующими знаниями у людей и с влиянием окужающей действительности на эти знания."
"s21967","rus","как именно люди понимают контекст и что для них значит """"""""знает"""""""" и """"""""верит"""""""""
"s21972","rus","Составить предположения/гипотезы о том, как люди понимают одни и те тексты."
"s21982","rus","Узнать, как мы используем некоторые слова"
"s21983","rus","Я считаю, что предложенные задания ориентировано на определение локуса ответственности (внешний - удача, внутренний - умения) в той или иной ситуации, а также на выяснение, к чему кореспондент будет атрибутировать ответственность за правильность/неправильность сделанных выводов. Скорее всего исследователи будут смотреть на наличие/отсутствие корреляции между атрибуцией и некими личностными чертами человека. Однако это только предположение, я не могу сказать точно. "
"s21984","rus","Затрудняюсь ответить "
"s21986","rus","Умение воспринимать информацию и анализировать ее, + как на наше видение ситуации влияет знание ошибок, которые совершили герои истории."
"s21990","rus","Насколько текст может убедить кого-то в той или иной позиции "
"s21992","rus","Думаю, что цель данного исследования - понять как люди воспринимают прочитанную информацию. Возможно, они воспринимают ее по-разному. Также, может быть, это исследование показывает восприятие языка, восприятие последовательности изложения информации."
"s22001","rus","определить насколько наше ощущение уверенности в чем-то действительно проеделяет достсоверность наших знаний"
"s22002","rus","оценка винмания и тд"
"s22006","rus","возможно исследование проводится с целью проверки на внимательность или логику"
"s22007","rus","Возможно, это исследование в рамках подхода theory of mind, поэтому исследуется связь языка, языковых конструкций со способностью к ментализации, в частности с приписыванием убеждений."
"s22008","rus","Измерение восприятия "
"s22010","rus","Возможно, узнать, каким образом люди понимают суждения других людей, и каким причинам они приписывают правильные и неправильные выводы других. "
"s22011","rus","В формулировки ответов. Как на формулировку ответа влияет ситуация."
"s22015","rus","Возможно, на разное восприятие событий в зависимости от контекста "
"s22016","rus","Исследование атрибуций"
"s22022","rus","Оценить то, как люди понимают значения слов, фраз. То есть как влияет язык на наше восприятие. "
"s22036","rus","Как в языке разными средствами выражается знание и кажущееся знание и как инфррмацию об этом воспринимает человек"
"s22039","rus","Выяснить отношение к информации, которую нам приходится воспринимать на веру, из-за того, что по времени экономнее сделать наиболее вероятный вывод и поверить в то, что он правильный, чем проверять свои догадки."
"s22041","rus","Определение установок респондентов на основании прочитанных текстов."
"s22042","rus","Я не уверена, но может это как-то связано с исследованием понимания у людей слов """"""""знаю"""""""" и """"""""кажется, что знаю"""""""""
"s22045","rus","Возможно, это исследование нацелено на определение локуса контроля респонтента и на его логическое мышление, умение внимательно прочитывать текст."
"s22047","rus","Может быть, это исследование на выявление локуса контроля людей в разных ситуациях."
"s22053","rus","Внимательность, восприятие людьми различных смысловых конструкций и проверка их понимания этих конструкций, влияние различных стилей написания на понимание"
"s22062","rus","Как люди понимают текст и могут формулировать логические посылки и делать вывод из них."
"s22063","rus","Исследование направлено на выявление способности понять прочитанный текст и способности его интерпретировать"
"s22064","rus","Исследовать зависимость восприятия человека от контеста ситуации"
"s22065","rus","Изучить зависимость формулировки задания от предписания человеку личной ответственности или влияния обстоятельств "
"s22067","rus","Не знаю"
"s22068","rus","Исследование внимания и влияния представлений на понимание текста."
"s22073","rus","Исследовать способность человека к предположению о мыслях и предположениях других людей."
"s22074","rus","Мне кажется цель этого исследования в том чтобы посмотреть на сколько реально люди могут воспринимать реальную информацию. Как прошлый опыт влияет на восприятие."
"s22075","rus","Роль объективных знаний о ситуации при оценке правильности решения "
"s22079","rus","Не знаю"
"s22082","rus","возможно, цель исследования - изучение оценивания правильности суждений, в зависимости от речевого описания ситуации"
"s22088","rus","По моемуу мнению, цель исследования в проверке и некоторой оценке  восприятия и осознания несколько похожих по смыслу историй и последующей их интерпретации"
"s22093","rus","Исследовать, как люди принимают решения, на какие ключевые слова ориентируются и как их интерпретируют"
"s22099","rus","Как влияет объективная реальность на наши знания/на нашу веру."
"s22100","rus","Что-то про механизмы мышления и их соотношение с речью"
"s22110","rus","Проверить, насколько люди атрибутируют принятие решения в ту или иную пользу внешним обстотятельствам или внутренним способностям в зависимости от ситуации. "
"s22112","rus","изучить восприятие действий (и решений) других людей, находящихся в различных ситуациях? в целом, все три истории похожи тем, что персонажи делают выводы только на основе своего восприятия, действуют без опоры на точную информацию."
"s22113","rus","как будто на логику, но если честно, не знаю"
"s22114","rus","Выявление различий представлений людей о знаниях и убеждениях"
"s22115","rus","зависимость вывода о правильности решения от речевого выражения ситуации"
"s22117","rus","Изучение восприятия семантики понятий, связанных с познанием (знание, вера и т.п.)"
"s22118","rus","Мне кажется, что цель исследования - посмотреть как меняется наше мнение в зависимости от вопросов. "
"s22120","rus","Определить, как люди оценивают обоснованность/необоснованность изначальных суждений, уже зная конечный вариат"
"s22121","rus","Психологическое исследование восприятия заведомо похожих ситуаций"
"s22125","rus","Выглядит как попытка разобраться в словоупотреблении понятий """"""""знать"""""""" и """"""""верить"""""""""
"s22133","rus","как наличие доп. информации влияет на ответы респондентов"
"s22148","rus","Понять, что есть """"""""знания"""""""" для русскоязычных людей"
"s22182","rus","Выяснить, насколько достоверной люди воспринимают одну и ту же информацию, насколько люди критически относятся к воспринимаемой информацией (текстом, высказыванием, табличкой)"
"s22190","rus","Что-то про манипулирование логическими выводами"
"s22197","rus","Определить, как люди делают вывод об обоснованности выводов других людей"
"s22201","rus","Что-то связанное с восприятием и критическим мышлением?"
"s22214","rus","Влияние контекста истории на оценку правдивости информации, знания о ней. """"""""Абсурдные"""""""" истории скорее принимаются на веру, чем ситуации, приближенные к повседневной реальности человека. "
"s22219","rus","Проанализировать формулировки"
"s22235","rus","Цель узнать наш локус контроля и наши личностные предиспозиции"
"s22252","rus","Узнать, какие речевые обороты имеют для людей значение точности/неточности, верных выводов/неверных выводов"
"s22279","rus","Понимание смысла текста?"
"s22295","rus","что-то связанное с формальной логикой"
"s22299","rus","Оценка действий людей и сопоставление с их мыслями третьим лицом"
"s22303","rus","Узнать как люди оценивают свои верные и ошибочные убеждения на верность "
"s22317","rus","Проверить как семантически люди определяют такие понятия, как знать и верить"
"s22322","rus","Вероятно, что цель исследования - понять, какие решения на наш взгляд являются обоснованными и логичными, а какие - нет и почему одна и та же модель поведения, но с разным условием отличается по содержанию ответа в восприятии масс. "
"s22331","rus","Оценка субъективного мышления других людей, паттернов их суждений, наше отношение к решениям других людей"
"s22344","rus","Узнать связь языка и то, как он помогает формировать мнение человека.
А еще, кажется, проверка внимательности людей к словам? Потому что проверка лингво-психологической связи или что-то такое упоминалось до историй... (и точную формулировку я забыла)."
"s22356","rus","Изучить, как читатель оценивает ситуации с точки зрения героев историй. Сравнить, как ситуация или стиль повествования истории может влиять на оценку читателя"
"s22363","rus","оцценить особенности мышления людей (какие причины мы приписываем)"
"s22375","rus","На умение делать выводы.  Правильно отличать свои знания/факты от веры"
"s22382","rus","Узнать на основании чего люди делают выводы"
"s22384","rus","Выявить умение отличать объективное знание от необъективного"
"s22395","rus","Возможно это изучение когнитивных искажений связанных, например """"""""проклятье знания"""""""" или что-то подобное"
"s22436","rus","Возможно, исследование модальности мыслей испытуемых."
