"id","survey_lang","purpose"
"s10626","slo","TEST"
"s10630","slo","TEST"
"s10655","slo","Test"
"s10661","slo","TEST"
"s10664","slo","TEST"
"s10674","slo","TEST"
"s10753","slo","TEST"
"s10784","slo","TEST"
"s11120","slo","Neviem "
"s11130","slo","porozumenie príbehom"
"s11136","slo","zistit ako ludia vnimaju situacie zo svojho pohladu, ked nevedia vsetky okolnosti; citanie s porozumenim"
"s11146","slo","výskum sa snažil zistiť ako ľudia z rôznych kultúr rozumejú príbehom"
"s11148","slo","posúdiť to ako človek porozumie príbehom, každý človek inak pochopí kontext . texty boli formulované tak aby to bolo mätúce pokial si ich človek neprečíta poriadne "
"s11156","slo","Študovať myslenie ľudí."
"s11158","slo","Myslím si, že tu pôjde o to ako ľudia rozlišne na základe jazykov vnímaju to, že čo to vedia (ale zároveň nemajú ako vedieť) vedia správne len náhodou ale zručnosťou. "
"s11160","slo","neviem"
"s11163","slo","Zistiť ako ľudia chápu jemné rozdiely v jazyku"
"s11164","slo","Zistiť ako ľudia získavajú informácie z textu a ako s nimi vedia podľa kontextu narábať."
"s11170","slo","porozumenie situačnému kontextu
používanie jazyka "
"s11171","slo","Porozumieť príbehom naprieč kultúrami. "
"s11181","slo","Vypracovanie diplomovej práce.
Vnímanie skutočnosti/fikcie na základe dohadov alebo skúseností."
"s11192","slo","Učelom výskumu je pochopiť logické vnímanie písaného textu, ktoré odráža úroveň spracovania jazykových schopnosti a následného vyplyvajúceho logického úsudku z nich. "
"s11197","slo","čítanie s porozumením"
"s11200","slo","pozorovanie či zmením odpovede časom"
"s11201","slo","Zistiť, či ľudia vedie používať správne jazyk, prostredníctvom čítania s porozumením. Taktiež nakoľko vedia prečítané informácie vyhodnotiť."
"s11202","slo","Zistiť ako sa ľudia pozerajú na situácie, ktoré sú prezentované príbehom, čo pre nich znamenajú jednotlivé slová a ako veľmi ich slová dokážu o niečom presvedčiť, nakoľko veria ich výpovednej hodnote"
"s11203","slo","V iných jazykoch asi príbeh znel inak, a teda cieľom bolo zistiť či rôzne jazyky menia význam alebo zrozumiteľnosť výskumov"
"s11205","slo","Zistiť ako sú ľudia ovplyvnení tým, ako je podaný nejaký príbeh."
"s11210","slo","Čítanie s porozumením."
"s11211","slo","neviem"
"s11213","slo","účleom je zistiť ako ľudia rozumejú jednotlivým príbehom"
"s11216","slo","Myslim ze ucel vyskumu spocival, v zisteni ako ludia vedia narabat s informaciami... v tomto pripade informacie ktore vieme my a informacie ktore vie ucasnik pribehu"
"s11219","slo","rozdielne chápanie, vnímanie podobných slov"
"s11223","slo","o viere v to, čo si myslíme, že vieme s istotou"
"s11236","slo","Presne neviem, možno niečo o tom ako si vysvetľujeme okolité dianie a situácie, na čo môže mať vplyv naša predchádzajúca skúsenosť, a tiež o tom, ako následne interpretujeme naše dojmy. Napr. ak by ten pán už niekedy zažil zistenie, že takéto domy boli falošné a on by sa teda mýlil, v tejto situácii by ho možno napadlo zvážiť aj možnosť, že by opäť mohlo ísť o podvod. On je ale presvedčený o tom, že keď vidí dom, tak je to dom. "
"s11237","slo","krátkodobá pamäť, porozumenie textu, práca s jazykom"
"s11260","slo","zistiť ako ľudia rozumejú príbehom naprieč kultúrami"
"s11266","slo","ako jedinec súdi nejednoznačne situácie"
"s11268","slo","pochopenie príbehom naprieč inými kultúrami"
"s11291","slo","Zistiť ako ľudia vnímajú textu."
"s11295","slo","Chápanie a vnímanie vecí "
"s11298","slo","Vnímanie človeka na základe pohľadu na vec, či situáciu a presvedčenie o pravdivosti obrazu, ktorý vidí. Reálna pravda závisí od poznania skutočného stavu."
"s11302","slo","zistiť ako ľudia rozumejú rôznym príbehom naprieč kultúram"
"s11308","slo","zistiť ako vnímame situáciu aj prostredníctvom jazyka"
"s11312","slo","či sú ľudia dostatočne presvedčený o tom, čo vidia a či berú do úvahy aj iné možné scenáre v danej situácií."
"s11314","slo","Neviem."
"s11323","slo","netuším"
"s11324","slo","ako ľudia rozumejú rôznym príbehom – naprieč kultúrami."
"s11334","slo","Ako si ľudia interpretujú príbehy."
"s11343","slo","neviem posudiť"
"s11344","slo","Či záleží na tom či je pravda ako označíme slovo."
"s11346","slo","Myslím, že účelom tohto výskumu bolo zistiť, ako ľudia rozumejú a chápu dané príbehy."
"s11348","slo","Zistiť ako jednotlivé tvrdenia vnímajú rôzni ľudia, či ich chápu rovnako alebo nie a na základe čoho sa rozhodli."
"s11349","slo","O tom, ako ako môže byť všetko v našom okolí pomerne relatívne, o tom, ako každý jeden jediný človek vníma veci inak, na základe toho nemôže jednoznačne dokladovať že má pravdu, pravda je relatívna "
"s11352","slo","čítať s porozumením"
"s11354","slo","vie/verí"
"s11355","slo","zistiť ako ľudia naprieč kultúrami vnímajú tieto príbehy, ktoré boli prezentované"
"s11356","slo","vnímanie situácie"
"s11363","slo","krátkodobá pamäť"
"s11392","slo","Zistiť ako ľudia rozumejú príbehom podľa toho ako sú rozprávané."
"s11400","slo","čo je otázkou šťastia a čo našich schopností"
"s11417","slo","Schopnosť odhadnúť situáciu? "
"s11424","slo","Porozumenie textu"
"s11433","slo","o posúdení pravdivosti toho, čo si ľudia mysleli, na základe pozadia danej okolnosti."
"s11434","slo","miera empatie, čítanie s porozumením"
"s11436","slo","V osobnom živote sa snažím prísne rozlišovať medzi tým čo viem, tým čomu verím a tým čo si myslím (aj keď sa to nedá vždy dokonale rozlíšiť). Výskum možno ukáže do akej miery je to dôležité pre širokú populáciu. A ukáže aj, či sú vôbec ľudia schopní porozumieť textu."
"s11467","slo","zistit efektivitu citania s porozumenim"
"s11470","slo","že aj keď sme o niečom presvedčení , možno ani nie presvedčení ale je to proste tak dané našimi skúsenosťami a pri tom to tak vôbec nemusí byť"
"s11487","slo","účelom bolo podľa mňa zistiť čo si ľudia o situácii myslia, či sú udalosti tohto výskumu výsledkom náhody, štastia, vedmostí alebo iných okolností"
"s11577","slo","zistiť čítanie s porozumením"
"s11578","slo","Povedať že nemáme pravdu, len na základe, že nevieme všetky fakty."
"s11584","slo","Testovať logiku a pozornosť"
"s11605","slo","Účelom tohto výskumu je podľa môjho názoru hodnotenie schopnosti čítania s porozumením a zistiť čitateľovu skúsenosť s nie typickým textom. "
"s11619","slo","skúmať rozlišovanie medzi vnímaním nejasných vecí a usudzovaním na tieto veci"
"s11630","slo","na gramotnosť a na to ako vnímame to čo čítame a to čo vidíme okolo seba"
"s11663","slo","Neviem"
"s11664","slo","účelom tohto výskumu je zistiť , ako respondent si premietne situaciu v mozgu a zodpovedá na otazky tykajuce sa danej situacie"
"s11666","slo","Či ľudia vedia určiť, kedy konajú správne a nesprávne na základne klamov, ktoré sú im poskytované."
"s11667","slo","Myslim ze je to posudenie o tom ci ludia vedia urcit kedy si ludia uvedomuju ze konaju nespravne a kedy konaju nespavrne si to uvedomuju (klamu, podvadzaju atd)"
"s11671","slo","zistiť, či naozaj veríme tomu čo vidíme podla svojho presvedčenia"
"s11672","slo","Ako som už spomenul, pravdepodobne zistiť, ako veľmi sa ľudia riadia definitívnymi pojmami a vedia usúdiť, aké informácie sú definitívne a aké do istej miery možno prekročiť."
"s11832","slo","
ako ľudia rozumejú reči"
"s11836","slo","Zhodnotiť to ,ako každý subjektívne vníma zmysel viet a ako jediné slovíčko môže kompletne zmeniť zmysel celej vety."
"s11980","slo","povedať, že čo vidíme na prvý pohľad nemusí byť pravda"
"s11986","slo","o morálnom rozhodovaní"
"s11989","slo","Aby sme vedeli posúdiť sitáciu "
"s12059","slo","Neviem"
"s12061","slo","Zaznamenať, ako ľudia vedia s porozumením čítať a pamätať si krátke príbehy. "
"s12106","slo","Vnímanie a porozumie textu, schopnosť vžiť sa do textu, čítanie s porozumením"
"s12120","slo","Zistiť nakoľko ľudia vnímajú systém v ktorom žijú."
"s12123","slo","Dôvera, presvedčenie v samého seba ale aj v ostatných."
"s12134","slo","čítanie s porozumením"
"s12147","slo","zanalyzovať spôsob rozhdovania účastníkov"
"s12153","slo","Náhoda?"
"s12157","slo","Zistiť ako vnímajú rôzni ľudia tie isté texty."
"s12159","slo","neviem"
"s12169","slo","Dozvedieť sa ako ľudia vedia pochopiť naratív."
