"id","survey_lang","purpose"
"s1308","tur","TEST"
"s2083","tur","TEST"
"s2084","tur","TEST"
"s2085","tur","TEST"
"s2087","tur","TEST"
"s3513","tur","TEST SOPHIA"
"s3522","tur","Kullanılan sözcükler, dil farklı anlamlara yol açabiliyor."
"s3540","tur","Gerçek algısıyla alakalı bir çalışma olduğunu düşünüyorum, fakat meyle ilişkilendirileceğini anlayamadım."
"s3543","tur","çalışmada belli türde kullanılan cümlelerin insanların beyninde nasıl şekillendi araştırılıyor diye düşünüyorum."
"s3638","tur","dikkat ölçmek."
"s3641","tur","Planlı ve detaycı olmaktan keyif alan bireylerin olaylar karşısındaki algısı ve muhakeme yeteneğinin ölçümü."
"s3660","tur","Bilmek ile inanmak kavramlarının araştırılması"
"s3664","tur","Bana göre bu çalışma bildiğimiz ve bildiğimizi sandığımız durumlar arasındaki farkı göstermeyi amaçlıyor."
"s3674","tur","Bu çalışma benim fikrime göre  insanların olaylara bakış açısını anlamaya yönelik bir çalışmadır."
"s3690","tur","Çalışmanın amacı bence, bireylerin bir şeyler hakkında yorum yaparken fikirlerine olan inançlarımı yorumlarını etkiliyor yoksa bildikleri şeyler mi yorumlarını etkiliyor? aradaki farkı anlamak."
"s3693","tur","algı , dikkat hakkında olabilir "
"s3695","tur","Doğru bilgiye ulaşmanın zorluğu"
"s3696","tur","Kişilik testi üzerinden gidilecek bir yol olabilir."
"s3712","tur","Karar verme mekanizmasının işleyişinde inanmanın ve bilmenin bütünleşmesi ya da farklılık gösterdiği noktalar"
"s3780","tur","Dikkat, analiz etme "
"s3782","tur","şans ve yetenek kavramlarının testi alan kişinin algısına göre değişmesi"
"s3839","tur","İlk başta okuduğunu anlama/analiz etme olduğunu düşündüm ama kendi hayatım hakkında sorular kısmında bu fikrimden vazgeçtim."
"s3975","tur","İnsanların okudukları metin ve ana dilleri arasındaki ilişkiyle, anlayabilme yetilerinin bağlantısını ölçmek olabilir. "
"s3982","tur","okuduklarimizi nasil yorumluyoruz ile kişilik tipimiz arasindaki korelasyon arastiriliyor."
"s3986","tur","Kişinin neye inandığı ve neyi bildiği arasındaki farkı ortaya koymak. inanılanla bilenenin farkında kişinin görüşünün ne olduğu."
"s3989","tur","Çalışmanın amacı algıları ölçmek olabilir."
"s3991","tur","yok."
"s4000","tur","İnsanların okuduğunu hafızasında önemli detaylarıyla birlikte tutup tutamadığını ölçebilmek adına güzel bir çalışma."
"s4009","tur","Amaç olarak kişinin kendini farkına varması, dikkatini ölçmesi adına bi çalışma olabilir."
"s4024","tur","Hislerle birşeyin doğru olduğunu düşünürken elimizde kanıt olması hususunun göz önünde bulundurulup bulundurulmaması ile alakalı düşündürdü, psychology deki logy kısmı gibi. kanıta dayalı ...Detaylara özen ve zamanlamada titizlik."
"s4030","tur","dil nasıl çalışır ve bazı bildiklerimizin ya da anladıklarımızın farklı olabileceğini anlatıyor. Her şeyden de emin olmamamız gerektiğini anladım. "
"s4032","tur","Bilişsel becerilerimizle cevaplarımız arasında tutarlılığı ölçmek olabilir"
"s4035","tur","verilen örnek hikayelerde kişilerin hikayelerde ki duruma bakış açılarının tespiti. Benlik algısı."
"s4039","tur","yok"
"s4041","tur","Okuduğunu anlayabilme, kişinin bilişsel gelişimini ve belki sosyal gelişimini incelemek olabilir."
"s4043","tur","olaylara farklı açılardan bakabilmenin gerekliliğini fark ettirdi."
"s4144","tur","dikkat ve algısal hafızayı ön planda tutarak günlük hayatımızda olayları nasıl planladığımızı ve bunları nasıl algıladığımızı anlamaya yönelik bir çalışma olduğunu düşünüyorum.  "
"s4152","tur","mizaç yada kişilik yapısı hakkında bilgi"
"s4172","tur","Bence bu çalışmanın amacı bir paragrafı okuduğumuzda neyi, ne kadar doğru algıladığımızı ölçmek için yapılmış.  Bir yazı okuduğumuzda detaylarıyla konuyu anlayabilmiş miyiz, kesin çizgilerine vakıf olmuş muyuz bunları ölçmek için yapılmış bir çalışma olduğunu düşünüyorum."
"s4173","tur","çalışmanın amacının okuduğunu ne derece anladığımızı ve aynı anlama çıkan cümleleri farklı şekilde yorumlayabilme becerimizi ölçme olarak düşünüyorum."
"s4179","tur","Dikkat ve  yargilama"
"s4214","tur","Kişilerin bilinçdışı verdikleri kararların doğruyla ilgili bir çalışma olabilir ama emin değilim "
"s4409","tur","Herhangi bir fikrim yok.
"
"s4490","tur","Hayattaki başarımızda yeteneklerimizin mi şansımızın mı daha etkili olduğunu düşündüğümüzü değerlendirmek için yapıldığını düşünüyorum.Ya da karşılaştığımız şansızlıklar veya o konuda bilgisiz/ yeteneksizliğimizin bizi ne kadar pes ettirdiği.."
"s4542","tur","Çalışmanın amacı insanların kendi doğru bildiklerine körü körüne inanması ve aslında onun doğruluğunu araştırmaması üzerine veri toplamak olabilir. Birçok insan ''bilmiyorum'' demekten çekiniyor ve bu insanları yanlış yönlendiriyor. Bir insan bir şeyin doğru olduğuna inanabilir fakat bu o şeyin gerçekten doğru olduğu anlamına gelmez. İnanmak ve bilmek farklı şeylerdir.
"
"s4547","tur","Hikayedeki kişilerin bilmedikleri şeyleri biz bildikten sonra onların davranışlarını ve düşüncelerini nasıl değerlendirdiğimizle ilgili olabileceğini düşünüyorum. Çocuklara yapılan 'Candy Box' çalışmasına benzer bir çalışma olabilir."
"s4548","tur","bence çalışma bireylerin metin okuma sırasında dikkatlerini ölçmek, aldığı kararlar ya da hayatındaki yönelmelerini bazen emin olarak bazen olmayarak doğru veya yanlış algıya sahip olmalarını ve bunların altındaki nedenleri görmek için yapılmış olabilir. Her şeyin göründüğü gibi olmadığını ya da göründüğü kadar net olmadığını göstermek."
"s4550","tur","Bu çalışma insanların çalışma düzenlerini, mantık arayışlarını ve araştırma yaparken ne derece dikkat ettiğini ya da insanların araştırmalarındaki mantık arayışlarını, mantığa e kesin bilgiye ne kadar önem verdiğini araştırıyor olabilir."
"s4658","tur","kişinin yeniye açıklığıyla mantıksal bağlanmadaki ilşki"
"s4662","tur","Kişilerin olayları algılama ,yorumlama ve değerlendirme  kabiliyeti hakkında bulgular elde etmeye yönelik olabilir. "
"s4673","tur","Dil kullanımı ve insanların başarı algısında bilme ve tesadüfilik arasındaki ilişkinin incelenmesi ile ilgili bir çalışma olabileceği kanaatindeyim."
"s4766","tur","Fikrim yok."
"s4783","tur","fikrim yok"
"s4818","tur","bir dusuncem yok."
"s4845","tur","Çalışmanın amacının gerçeklik algımızın nasıl yönlendirilebileceği üzerine olduğunu düşünüyorum. Ancak daha sonra sorulan kişisel sorulardan da özellikle tekrarlayan şeylerin altındaki nedenlere bakmak ve bunlara yeni bazı bakış açıları getirmekle olduğuna yöneltti. Bu iki tematik birbiriyle çelişmez gibi gözükse de, farklı alanlarla ilgili gibidir."
"s4859","tur","Dilin algılama üzerindeki etkisini anlamaya yönelik"
"s4865","tur","Okuduğunu anlamanın ve kendini anlamanın önemi, bilgisi. Ve bunlara yorumlamalar katabilme."
"s4866","tur","Okuduğumuzu anlama, kendimizi anlama. Yorumlama becerisi."
"s4894","tur","Okuduğunu anlayıp farklı noktalara dikkat çekerek olayın merkezinin saptırılsada ne kadar anlaşıldığı hakkında olduğunu düşünüyorum."
"s6004","tur","Çalışmanın amacı bildiklerimiz, bildiğimizi sandıklarımız ve bilmek için izlediğimiz prensipleri sorgulamak gibi gözüküyor. "
"s6016","tur","bireylerin okuduğunu anlama ve dikkatlerini ölçerek onların hangi kişilik tipiyle örtüştüğünü amaçlamış olabilir."
"s6116","tur","çalışma kişinin gerçek hayatla kendi bireysel dünyasındaki bağı araştırıyor."
"s6373","tur","Analitik düşünme becerisi ve kararlarımızı bilinç dışı mı yoksa edindiğimiz bilgilere göre mi verdiğimiz."
"s6457","tur","Ön bilgilere dayanan verilerin yeniyi anlamlandırmadaki etkisi..Düşünülene inanma kişide """"""""bilme"""""""" zannı oluşturabilir ve tercihlere yön verebilir."
"s6466","tur","Hikayeli bölümdeki hikaye ve sorular mantıksız. Verilen hikaye ile sorular bir sonuca götürücek mantık da değil,"
"s6519","tur","ÖLÇÜM"
"s6522","tur","dikkat ve planlama hakkında yapılan bir araştırma"
"s6574","tur","İnsanların yaşmış oldugu yada yaşamakta oldugu olayları nasıl ve ne şekilde algıladıgı konusunda fikir sahibi olmamızı sağlamayı amaçlamakta"
"s6615","tur","algı yanlması üzerine bir test olduğunu düşünüyorum"
"s6881","tur","dikkat ölçme"
"s6903","tur","   "
"s6932","tur","bir fikrim yok"
"s6941","tur","Veri toplayarak belirsizlikler karşısında insan davranışı ile ilgili bir çalışma yapılacağını düşündüm."
"s6982","tur","Düşünce tarzlarını görüp yorumlamak."
"s7036","tur","insanın bildiği şey ile inandığı şey arasındaki farklar araştırılıyor olabilir. ya da bilmek ile inanmak kelimelerinin tam karşılığı insanlara verilmek isteniyor olabilir."
"s7092","tur","okuduklarımızdan nasıl çıkarım yaptığımız aslında iki seçenekte olabilirken biz kendimiz nasıl hissedersek ya da olaya hangısı daha ykın geliyorsa ou seçiyoruz."
"s7094","tur","İnsanların birçok şeyi inanarak mı yaptığı yoksa bildiği için mi yaptığı ayrımına varmak."
"s7096","tur","olaylara bakış açımızın nasıl olduğunu gözlemlemek."
"s7099","tur","Bence hem insanların nelere dikkat ettiğini, detaycı olup olmadıklarını, planlı olup olmadıklarını, okunulan paragrafta ifadeleri anlayıp anlamadığımızı ve bunları ne kadar anlayıp anlamadığımızı, planlı olmakla detaylara dikkat etmenin bir ilişkisinin olup olmadığı araştırmanın amacı olabilir."
"s7110","tur","Bir fikrim yok."
"s7183","tur","Algıda seçicilik çalışması olabilir."
"s7222","tur","  "
