"subject","cntr","country","R_attendance","R_prayer","R_religiousID","R_member","R_denomination","R_denominationText","R_god","R_afterlife","R_NormsSelfRelLife","R_NormsSelfGod","religiosity.s","religiosity","culturalNorms","norms","norms_z","spirituality","source_first","important_scientific","credible_scientific","important_spiritual","credible_spiritual","sourceCorrect_scientific","sourceCorrect_spiritual","recallHit_scientific","recallHit_spiritual","recallFa_scientific","recallFa_spiritual","RT_scientific","RT_spiritual","statementAndOrder","Age","Gender","Education","SES","Ethnicity","EthnicityText","Recruitment","Sample","Compensation","Language"
1,"AUS","Australia",0,0,0.5,0,NA,NA,0.5,0.5,0,0.5,-0.285324265202608,0.285714285714286,0.5,0.455723542116631,0.221678153568798,2,"spiritual",4,4,3,4,1,1,2,2,0,0,11.155,16.203,"G1_S2",41,"man",4,4,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
2,"AUS","Australia",0.833333333333333,0.714285714285714,1,1,"Christian (Roman Catholic)",NA,0.5,0.333333333333333,0.5,0.25,0.611813172036723,0.590136054421769,0.25,0.455723542116631,0.221678153568798,4,"spiritual",6,6,4,4,1,1,3,5,0,0,12.65,22.185,"G1_S2",31,"man",5,6,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
3,"AUS","Australia",0,0,0.5,0,NA,NA,0,0.166666666666667,0,0,-0.78718355739644,0.0952380952380952,0.25,0.455723542116631,0.221678153568798,2,"scientific",7,7,4,2,1,1,4,3,1,1,23.628,17.317,"S1_G2",26,"woman",5,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
4,"AUS","Australia",0,0,0,0,NA,NA,0,0.333333333333333,0,0,-0.91230177694866,0.0476190476190476,0.5,0.455723542116631,0.221678153568798,2,"scientific",3,6,3,4,0,1,2,2,0,1,5.433,6.711,"S2_G1",21,"man",5,5,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
5,"AUS","Australia",0.5,0,0.5,1,"Buddhist",NA,0,1,0.25,0,-0.138606903402103,0.321428571428571,0.5,0.455723542116631,0.221678153568798,5,"scientific",1,1,1,1,1,1,2,3,0,0,27.54,35.912,"S2_G1",28,"woman",5,4,"East Asian",NA,"TurkPrime","online panel","monetary reward","English"
6,"AUS","Australia",0,0,0.5,0,NA,NA,0.166666666666667,0.5,0,0,-0.599253206840446,0.166666666666667,0.25,0.455723542116631,0.221678153568798,2,"spiritual",5,5,4,4,1,1,5,3,0,0,14.316,24.501,"G2_S1",49,"man",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
7,"AUS","Australia",0,0,0,0,NA,NA,0,0.5,0,0,-0.849230402109933,0.0714285714285714,0.375,0.455723542116631,0.221678153568798,1,"scientific",3,5,1,2,1,1,2,2,0,0,18.702,36.583,"S2_G1",23,"woman",3,5,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
8,"AUS","Australia",0,0.142857142857143,0,0,NA,NA,0.333333333333333,0,0,0,-0.859968901589381,0.0680272108843537,0,0.455723542116631,0.221678153568798,4,"spiritual",5,5,4,4,1,1,3,4,0,1,9.75,9.175,"G2_S1",23,"woman",2,4,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
9,"AUS","Australia",0,0,0,0,NA,NA,0.166666666666667,0.333333333333333,0,0,-0.85051417607012,0.0714285714285714,0,0.455723542116631,0.221678153568798,4,"spiritual",5,5,4,3,1,1,2,1,1,2,6.35,13.099,"G1_S2",18,"woman",4,7,"Caucasian/European",NA,"TurkPrime","online panel","monetary reward","English"
10,"AUS","Australia",0.833333333333333,0.714285714285714,0.5,1,"Christian (Roman Catholic)",NA,0.666666666666667,0.666666666666667,0.5,0.5,0.706730798142149,0.625850340136054,0.5,0.455723542116631,0.221678153568798,5,"spiritual",6,6,6,5,1,0,2,1,0,1,14.008,3.507,"G2_S1",22,"man",5,5,"South Asian",NA,"TurkPrime","online panel","monetary reward","English"
