"sccsn","Culture","DPLACE_Name","glottocode","Jaeger_taxa_name","TimeFocus","Family","Lat","Long","Region","Continent","Isolate","V_1s_common","V_2s_common","V_3s_common","V_4s_common","V_5s_common","V_6s_common","V_1s_common_distinct","V_5s_common_distinct","V_1s_present","V_2s_present","V_3s_present","V_4s_present","V_5s_present","V_6s_present","V_1s_present_distinct","V_5s_present_distinct","New","Natural","Social","Natural2","Social2","Natural_binary","Social_binary","Natural_distinct","Social_distinct","Natural2_distinct","Social2_distinct","Natural_binary_distinct","Social_binary_distinct","Society_conf","pathogensum","externalwar","internalwar","oth","othsh4","famine_index","political.inequality","political.cohesion","complexity","writingrecords","fixityresidence","agriculture","urbanization","technologyspecialization","landtransport","money","densitypopulation","politicalintegration","socialstratification","population","pastoral"
1,"Nama Hottentot","Nama","nama1265","NAMA",1860,"Khoe-Kwadi",-26,18,"Southern Africa","Africa","No",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,3,1,1,1,1,3,3,1,1,1,1,3,0,,,2,2,0.550545713607629,,,-0.62841542181445,1,1,1,2,2,2,1,1,3,2,4,1
2,"Kung Bushmen","!Kung","juho1239","JUHOAN",1950,"Kxa",-20,21.18,"Southern Africa","Africa","No",1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,3,1,1,0.333333333333333,1,1,3,1,1,0.333333333333333,1,1,4,1,1,2,4,4,-1.24648580348866,-1.29976569614524,-0.104119312621489,-1.0559778152086,2,1,1,1,1,1,1,1,2,1,3,0
3,"Thonga","Tsong","tson1249","TSONGA",1895,"Atlantic-Congo",-12,34,"South Tropical Africa","Africa","No",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,3,1,1,1,1,3,3,1,1,1,1,4,1,,,,,0.417137124078396,,,0.0910470647908885,1,4,3,1,2,1,2,5,4,3,5,0
4,"Lozi","Lozi","lozi1239","LOZI_2",1900,"Atlantic-Congo",-15,23,"South Tropical Africa","Africa","No",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,3,2,1,0.666666666666667,1,1,3,2,1,0.666666666666667,1,1,4,3,3,2,,,0.598980319612387,0.95224495861938,0.373259414134102,0.183481076435381,1,3,4,4,2,1,1,3,5,4,4,0
5,"Mbundu",,"umbu1257","UMBUNDU",1890,"Atlantic-Congo",-12,16,"South Tropical Africa","Africa","No",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,3,2,1,0.666666666666667,1,1,3,2,1,0.666666666666667,1,1,4,3,,,,,0.729326919727977,,,0.308847320729268,1,5,3,2,2,1,3,3,4,4,6,0
6,"Suku",,"suku1259","SUKU",1920,"Atlantic-Congo",-6,18,"West-Central Tropical Africa","Africa","No",1,0,,0,1,0,1,1,1,1,,0,1,0,1,1,0,1,1,0.5,0.333333333333333,1,1,1,1,0.5,0.333333333333333,1,1,4,4,2,3,,,0.236697471883327,0.33878018048117,-0.177363080944152,0.0753262308416051,1,4,3,1,2,1,3,3,5,3,4,0
7,"Bemba",,"town1238","BEMBA_1",1897,"Atlantic-Congo",-11,31,"South Tropical Africa","Africa","No",1,1,,0,0,0,1,0,1,1,,1,1,1,1,1,0,2,0,1,0,1,0,2,0,1,0,1,0,4,4,,,,,0.550545713607629,,,0.0331861881063782,2,4,3,2,2,1,1,2,5,3,5,0
8,"Nyakyusa",,"nyak1261","NYAKYUSA_1",1934,"Atlantic-Congo",-9,34,"South Tropical Africa","Africa","No",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,3,1,1,1,1,3,3,1,1,1,1,4,4,4,4,2,2,-0.114242846831532,0.33878018048117,0.0975585658376629,0.0558675202978689,1,4,4,2,2,1,2,4,4,1,5,0
11,"Kikuyu",,"kiku1240","GIKUYU",1920,"Atlantic-Congo",-1,37,"Eastern Tropical Africa","Africa","No",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,3,2,1,0.666666666666667,1,1,3,2,1,0.666666666666667,1,1,4,6,3,2,,,0.652523305371622,-0.173760368762928,0.72142482923858,0.0810970197998687,1,5,4,2,2,1,2,5,2,2,5,0
12,"Ganda",,"gand1255","LUGANDA",1875,"Atlantic-Congo",1,32,"East Tropical Africa","Africa","No",1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,3,2,1,0.666666666666667,1,1,3,2,1,0.666666666666667,1,1,4,5,4,2,2,2,0.258554557141524,1.46478550786348,0.423614089451769,0.584503446413537,2,5,4,2,2,1,3,5,5,4,5,0
