,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,QID41,manip_check,explain_more,explain_less,age,gender,race,check,check_4_TEXT,education,political_ideology,party,kids,oldest_kid,comments,PROLIFIC_PID,inclusion,reason,trend,trend_cat,strict,year,rating,participant
1.202,6/11/20 12:41,6/11/20 12:44,IP Address,100,197,TRUE,6/11/20 12:44,R_3Pc32OPyYP6Kt6m,NA,NA,NA,NA,37.31770325,-122.0438004,anonymous,EN,I consent to take part in this study,5eaa0cc0fb0fca17a3006d9c,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"Politicians and the leadership in countries stoking fears, using divisive language, deliberately setting one group of people against another.",62,Male,Asian,Other,sky,Graduate school,Somewhat liberal,Lean Democrat,2,1989,,5eaa0cc0fb0fca17a3006d9c,NA,NA,-3,less,NA,2020,3,1
2.202,6/11/20 12:50,6/11/20 12:54,IP Address,100,202,TRUE,6/11/20 12:54,R_2yj4VmRqTTzqBrf,NA,NA,NA,NA,42.36950684,-83.47689819,anonymous,EN,I consent to take part in this study,5e6548dbb47a552c541cb053,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,68,Male,Asian,Other,sky,Four-year college degree,Somewhat liberal,Lean Democrat,2,1992,none,5e6548dbb47a552c541cb053,NA,NA,0,equal,NA,2020,5,2
3.202,6/11/20 12:48,6/11/20 12:54,IP Address,100,382,TRUE,6/11/20 12:54,R_3MGrxcUHXv0ECg6,NA,NA,NA,NA,32.65390015,-116.9772949,anonymous,EN,I consent to take part in this study,5d8a64630ffb9c001746ca2c,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,The easiness of being rude and disrespectful via the Internet. Lack of respect for basic differences.,61,Male,Asian,Other,sky,Associate's degree,Somewhat conservative,Lean Republican,2,1996,None at this time,5d8a64630ffb9c001746ca2c,NA,NA,-1,less,NA,2020,4,3
4.202,6/11/20 12:53,6/11/20 12:55,IP Address,100,95,TRUE,6/11/20 12:55,R_2e9z4rdrXG598xl,NA,NA,NA,NA,26.46960449,-81.8132019,anonymous,EN,I consent to take part in this study,5b6515aff7798c00018291b8,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,30,Female,White,Other,sky,Associate's degree,Neither liberal nor conservative,Independent,0,NA,,5b6515aff7798c00018291b8,NA,NA,0,equal,NA,2020,3,4
5.202,6/11/20 12:58,6/11/20 13:00,IP Address,100,81,TRUE,6/11/20 13:00,R_2YqPugiG29tagHk,NA,NA,NA,NA,39.44270325,-77.55419922,anonymous,EN,I consent to take part in this study,5d27db3d44cdee000184f4eb,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,27,Male,White,Other,sky,Associate's degree,Somewhat liberal,Lean Democrat,0,NA,,5d27db3d44cdee000184f4eb,NA,NA,0,equal,NA,2020,4,5
6.202,6/11/20 13:01,6/11/20 13:02,IP Address,100,62,TRUE,6/11/20 13:02,R_1JOtVWtDTl1BTqf,NA,NA,NA,NA,52.23939514,21.03619385,anonymous,EN,I consent to take part in this study,5e8b8ae295381006326bd424,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",technology,,20,Female,White,Other,sky,High school diploma,Neither liberal nor conservative,Independent,0,NA,,5e8b8ae295381006326bd424,NA,NA,1,more,NA,2020,4,6
7.202,6/11/20 13:00,6/11/20 13:05,IP Address,100,290,TRUE,6/11/20 13:05,R_cSULdEdE194IZep,NA,NA,NA,NA,48.74940491,-122.4896011,anonymous,EN,I consent to take part in this study,5662218473ac8700058095b1,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"The rise of fascism in the United States. While most people are decent, one third of the nation has fallen into a vicious cult. I understand that this response could be viewed as emblematic of the ""real"" problem, but it is not. Fascism in the US is a problem, which we are not even willing to recognize because of a pervasive ""equivalence"" narrative.  ",61,Male,White,Other,sky,Graduate school,Somewhat conservative,Independent,3,1990,Good luck!,5662218473ac8700058095b1,NA,NA,-1,less,NA,2020,6,7
8.202,6/11/20 13:03,6/11/20 13:06,IP Address,100,193,TRUE,6/11/20 13:06,R_1mknxEYvjQnTmD1,NA,NA,NA,NA,39.05369568,-94.59059906,anonymous,EN,I consent to take part in this study,5d5b0dd511936d001ad6602d,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,The world is more dangerous now and people are more ambitious now as well ,28,Female,Hispanic or Latino Origin,Other,sky,Graduate school,Somewhat liberal,Lean Democrat,0,NA,,5d5b0dd511936d001ad6602d,NA,NA,-1,less,NA,2020,5,8
9.202,6/11/20 13:06,6/11/20 13:07,IP Address,100,57,TRUE,6/11/20 13:07,R_27vVaPwwHMgCEHc,NA,NA,NA,NA,34.74710083,-118.3686981,anonymous,EN,I consent to take part in this study,5621cf44ed6e5a000bc7efd1,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,32,Male,White,Other,sky,Graduate school,Very liberal,Lean Democrat,2,2013,,5621cf44ed6e5a000bc7efd1,NA,NA,0,equal,NA,2020,5,9
10.202,6/11/20 13:07,6/11/20 13:10,IP Address,100,171,TRUE,6/11/20 13:10,R_246DhMSPvOC510R,NA,NA,NA,NA,39.82940674,-104.9095001,anonymous,EN,I consent to take part in this study,597e78d513dc5e0001e2f818,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,Manipulation of society causing polarization by special interest profiting from discord.,65,Male,White,Other,sky,Graduate school,Somewhat liberal,Strongly Democrat,2,1985,no,597e78d513dc5e0001e2f818,NA,NA,-1,less,NA,2020,5,10
11.202,6/11/20 13:07,6/11/20 13:10,IP Address,100,148,TRUE,6/11/20 13:10,R_2yeaDGxJbPrl7gC,NA,NA,NA,NA,40.33230591,-80.08059692,anonymous,EN,I consent to take part in this study,5d4320275a5b010001523979,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,70,Male,White,Other,sky,Graduate school,Somewhat liberal,Independent,1,1977,,5d4320275a5b010001523979,NA,NA,0,equal,NA,2020,5,11
12.202,6/11/20 13:09,6/11/20 13:11,IP Address,100,70,TRUE,6/11/20 13:11,R_2yef06CtaPfBvFD,NA,NA,NA,NA,33.09509277,-96.88050079,anonymous,EN,I consent to take part in this study,5e55e4deb8c9ad5f6a5290c5,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,33,Female,Asian,Other,sky,Graduate school,Somewhat liberal,Lean Democrat,0,NA,,5e55e4deb8c9ad5f6a5290c5,NA,NA,0,equal,NA,2020,5,12
