,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,kindergarten,kindergarten_DO_1,kindergarten_DO_2,kindergarten_DO_3,kindergarten_DO_4,kindergarten_DO_5,zip,zip_DO_1,zip_DO_2,zip_DO_3,zip_DO_4,zip_DO_5,turkey,turkey_DO_1,turkey_DO_2,turkey_DO_3,turkey_DO_4,turkey_DO_5,consent,manip_check,explain_more,explain_less,age,gender,race,language,language_2_TEXT,eng_comp,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments,inclusion,reason,ten_trend,trend,strict,diff,year,rating,participant
1.202,1/15/20 20:46,1/15/20 20:48,IP Address,100,89,TRUE,1/15/20 20:48,R_22GhjlYIke6xtFs,NA,NA,NA,NA,39.58839417,-105.0775986,anonymous,EN,Kindergarten,2,4,5,3,1,2138,1,3,4,2,5,Eating turkey,5,4,2,3,1,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,62,Female,White,English,,Very Good,Other,day,Four-year college degree,1,Very conservative,1979,Thank you.,NA,NA,0,equal,NA,0,2020,6,1
2.202,1/15/20 20:47,1/15/20 20:51,IP Address,100,193,TRUE,1/15/20 20:51,R_6EWA8qviBagVaRH,NA,NA,NA,NA,41.94500732,-87.79959869,anonymous,EN,Kindergarten,1,5,4,2,3,2138,5,4,1,2,3,Eating turkey,5,4,2,3,1,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,"Changes in the economy, weather, and laws.",52,Female,White,English,,Very Good,Other,day,Some college,0,Somewhat liberal,NA,,NA,NA,-1,less,NA,-1,2020,5,2
3.202,1/15/20 20:51,1/15/20 20:52,IP Address,100,62,TRUE,1/15/20 20:52,R_1jvP89B8xPRs9EY,NA,NA,NA,NA,38.07040405,-78.90670013,anonymous,EN,Kindergarten,5,2,3,4,1,2138,3,4,5,2,1,Eating turkey,3,1,5,2,4,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,29,Female,White,English,,Very Good,Other,day,Graduate school,0,Somewhat liberal,NA,,NA,NA,0,equal,NA,0,2020,4,3
4.202,1/15/20 22:17,1/15/20 22:20,IP Address,100,175,TRUE,1/15/20 22:20,R_2rl1VQrl42iHGk1,NA,NA,NA,NA,40.83250427,-75.70140076,anonymous,EN,Kindergarten,3,5,4,2,1,2138,1,2,3,5,4,Eating turkey,3,4,1,2,5,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,Living comfortably has become increasingly difficult over the years. I feel this is the number one reason why people are not as friendly and nice as they were in the past.,32,Male,White,English,,Very Good,Other,day,Some college,0,Neither liberal nor conservative,NA,,NA,NA,-2,less,NA,-2,2020,5,4
5.202,1/15/20 22:28,1/15/20 22:29,IP Address,100,82,TRUE,1/15/20 22:29,R_agb5AqTugT94oTv,NA,NA,NA,NA,42.3256073,-77.65930176,anonymous,EN,Kindergarten,2,5,1,4,3,2138,4,2,3,1,5,Eating turkey,2,1,3,4,5,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,Society in general has gotten worse,27,Male,White,English,,Very Good,Other,day,Four-year college degree,3,Somewhat liberal,2003,,NA,NA,-2,less,NA,-2,2020,3,5
6.202,1/15/20 22:55,1/15/20 22:56,IP Address,100,67,TRUE,1/15/20 22:56,R_3Ey8PRT7gGj51u2,NA,NA,NA,NA,47.32359314,-122.3186951,anonymous,EN,Kindergarten,2,5,4,1,3,2138,2,1,4,5,3,Eating turkey,5,4,2,1,3,I consent to take part in this study,"More kind, honest, nice, good today compared to ten years ago",I think it's just the people I've associated with has yielded more of a net positive for me.,,29,Male,White,English,,Very Good,Other,day,Four-year college degree,0,Somewhat liberal,NA,,NA,NA,1,more,NA,1,2020,4,6
7.202,1/15/20 23:52,1/15/20 23:55,IP Address,100,198,TRUE,1/15/20 23:55,R_3g8eCdDy6CkckTT,NA,NA,NA,NA,40.7960968,-81.37979889,anonymous,EN,Kindergarten,2,4,5,3,1,2138,1,2,4,3,5,Eating turkey,2,1,5,3,4,I consent to take part in this study,"More kind, honest, nice, good today compared to ten years ago",they are mostly good people,,64,Male,White,English,,Very Good,Other,day,Four-year college degree,3,Somewhat conservative,1989,,NA,NA,1,more,NA,1,2020,6,7
8.202,1/15/20 23:52,1/15/20 23:56,IP Address,100,232,TRUE,1/15/20 23:56,R_74ckj9NL0U2clfH,NA,NA,NA,NA,31.54020691,-110.2669983,anonymous,EN,Kindergarten,3,5,1,2,4,2138,3,4,5,1,2,Eating turkey,2,1,4,5,3,I consent to take part in this study,"Less kind, honest, nice, good today compared to ten years ago",,Stress about careers.  The cost of living.  Stress of what's going on around the world.  Broken families and no longer a family unit causes anger.,52,Female,White,English,,Very Good,Other,day,Associate's degree,3,Somewhat conservative,1992,,NA,NA,-1,less,NA,-1,2020,3,8
9.202,1/16/20 11:28,1/16/20 11:30,IP Address,100,102,TRUE,1/16/20 11:30,R_3PbjEgRlNdgZZQV,NA,NA,NA,NA,35.98539734,-115.1193008,anonymous,EN,Kindergarten,5,4,1,2,3,2138,2,5,1,4,3,Eating turkey,2,4,3,5,1,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,37,Female,White,English,,Very Good,Other,day,Some college,0,Very liberal,NA,,NA,NA,0,equal,NA,0,2020,4,9
10.202,1/16/20 11:28,1/16/20 11:30,IP Address,100,120,TRUE,1/16/20 11:30,R_BXG9hwzX0kX7O4F,NA,NA,NA,NA,27.97860718,-82.70149994,anonymous,EN,Kindergarten,1,2,5,3,4,2138,1,3,4,2,5,Eating turkey,2,4,5,3,1,I consent to take part in this study,"Equally kind, honest, nice, good today and ten years ago",,,62,Male,White,English,,Very Good,Other,day,Four-year college degree,3,Neither liberal nor conservative,1982,Interesting topic.,NA,NA,0,equal,NA,0,2020,5,10
