,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age_1,footwear,footwear_DO_1,footwear_DO_2,footwear_DO_3,footwear_DO_4,footwear_DO_5,rsvp,rsvp_DO_1,rsvp_DO_2,rsvp_DO_3,rsvp_DO_4,rsvp_DO_5,elevator,elevator_DO_1,elevator_DO_2,elevator_DO_3,elevator_DO_4,elevator_DO_5,consent,X2015,X2010,X2005,X2000,X1995,X1990,X1985,X1980,X1975,X2000_born,X1995_born,X1990_born,X1985_born,X1980_born,X1975_born,X1970_born,X1965_born,X1960_born,X1955_.born,check_20,check_25,check_30,check_35,check_40,check_45,check_50,check_55,check_60,check_65,old_today,young_today,old_past,explain_more_20,explain_more_25,explain_more_30,explain_more_35,explain_more_40,explain_more_45,explain_more_50,explain_more_55,explain_more_60,explain_more_65,explain_less_20,explain_less_25,explain_less_30,explain_less_35,explain_less_40,explain_less_45,explain_less_50,explain_less_55,explain_less_60,explain_less_65,age,gender,race,income,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments,inclusion,reason,diff,diff_born,diff_20,diff_cat,cat,cat2,born_minus_twenty,twenty_minus_today,born_minus_today,time,rating,participant
1.today,1/29/20 10:25,1/29/20 10:27,IP Address,100,79,TRUE,1/29/20 10:27,R_1QfOHooCX5YAWyx,NA,NA,NA,NA,39.13879395,-77.17259979,anonymous,EN,25-29,Bell bottoms,5,2,1,4,3,A wedding invitation,4,3,2,1,5,An elevator,4,1,3,2,5,I consent to take part in this study,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,26,Female,White,"$55,000 - $75,000",Other,apple,Graduate school,0,Neither liberal nor conservative,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,6,1
2.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,71,TRUE,1/29/20 10:27,R_1BRcNbTXBdMhl2W,NA,NA,NA,NA,29.70559692,-95.40200043,anonymous,EN,25-29,Bell bottoms,1,2,5,4,3,A wedding invitation,5,3,4,1,2,An elevator,1,4,2,5,3,I consent to take part in this study,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,25,Female,White,"$95,000 - $150,000",Other,apple,Four-year college degree,0,Somewhat conservative,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,4,2
3.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,65,TRUE,1/29/20 10:27,R_1l5JxG8Z6wOR6Q6,NA,NA,NA,NA,40.78089905,-73.95020294,anonymous,EN,25-29,Bell bottoms,5,3,1,2,4,A wedding invitation,4,5,1,3,2,An elevator,1,4,2,3,5,I consent to take part in this study,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,5,5,5,,,,,,,,,,,,,,,,,,,,,29,Female,Hispanic or Latino Origin,"$150,000 - $200,000",Other,apple,Graduate school,0,Very liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,6,3
4.today,1/29/20 10:25,1/29/20 10:27,IP Address,100,78,TRUE,1/29/20 10:27,R_3PdlDuQLkctIPkz,NA,NA,NA,NA,40.12150574,-75.32689667,anonymous,EN,25-29,Bell bottoms,4,3,1,5,2,A wedding invitation,1,3,2,4,5,An elevator,2,5,4,1,3,I consent to take part in this study,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,4,4,5,,,,,,,,,,,,The internet.,,,,,,,,,25,Male,More than 1 of the above,"$200,000+",Other,apple,Four-year college degree,0,Somewhat conservative,NA,,NA,NA,-2,-2,0,less,"People are LESS kind, honest, nice, and good today compared to about 25 years ago",less,2,0,2,today,4,4
5.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,67,TRUE,1/29/20 10:27,R_1IXk09w9uw2X6xj,NA,NA,NA,NA,43.60549927,-84.77960205,anonymous,EN,18-24,Bell bottoms,2,1,4,5,3,A wedding invitation,1,2,5,3,4,An elevator,4,2,1,3,5,I consent to take part in this study,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"People are equally kind, honest, nice, and good today compared to about 20 years ago",,,,,,,,,,6,5,5,,,,,,,,,,,,,,,,,,,,,21,Female,White,"$15,000 - $35,000",Other,apple,Associate's degree,0,Very liberal,NA,,NA,NA,0,0,NA,equal,"People are equally kind, honest, nice, and good today compared to about 20 years ago",equal,NA,NA,0,today,5,5
6.today,1/29/20 10:25,1/29/20 10:27,IP Address,100,87,TRUE,1/29/20 10:27,R_3hhZJh8WCYJxZEt,NA,NA,NA,NA,47.30659485,-122.2619019,anonymous,EN,25-29,Bell bottoms,2,1,3,4,5,A wedding invitation,2,3,1,4,5,An elevator,1,3,4,5,2,I consent to take part in this study,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,28,Female,White,"$35,000 - $55,000",Other,apple,Four-year college degree,0,Very liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,3,6
7.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,71,TRUE,1/29/20 10:27,R_3P6sBe4HzuHr8dJ,NA,NA,NA,NA,42.3157959,-85.17990112,anonymous,EN,30-34,Bell bottoms,2,5,4,3,1,A wedding invitation,5,4,1,3,2,An elevator,1,2,4,5,3,I consent to take part in this study,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,"People are equally kind, honest, nice, and good today compared to about 30 years ago",,,,,,,,4,5,2,,,,,,,,,,,,,,,,,,,,,34,Other,Asian,"less than $15,000",Other,apple,Associate's degree,0,Very liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 30 years ago",equal,0,0,0,today,3,7
8.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,92,TRUE,1/29/20 10:27,R_3erYnPVPiqo2aEC,NA,NA,NA,NA,42.2440033,-83.58229828,anonymous,EN,25-29,Bell bottoms,1,3,4,5,2,A wedding invitation,2,1,4,5,3,An elevator,1,2,3,5,4,I consent to take part in this study,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,6,4,5,,,,,,,,,,,,,,,,,,,,,29,Male,White,"$75,000 - $95,000",Other,apple,Four-year college degree,0,Somewhat liberal,NA,N/A,NA,NA,0,0,-1,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,-1,1,0,today,5,8
9.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,65,TRUE,1/29/20 10:27,R_1C70ufluajKqqCg,NA,NA,NA,NA,39.80000305,-89.64949799,anonymous,EN,35-39,Bell bottoms,1,2,3,4,5,A wedding invitation,4,5,2,3,1,An elevator,2,4,5,1,3,I consent to take part in this study,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,,,,"People are equally kind, honest, nice, and good today compared to about 35 years ago",,,,,,,5,4,5,,,,,,,,,,,,,,,,,,,,,35,Female,White,"$55,000 - $75,000",Other,apple,Graduate school,0,Somewhat liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 35 years ago",equal,0,0,0,today,5,9
10.today,1/29/20 10:26,1/29/20 10:27,IP Address,100,76,TRUE,1/29/20 10:27,R_R1QsnYb8eNR4Xol,NA,NA,NA,NA,40.67630005,-73.94920349,anonymous,EN,25-29,Bell bottoms,3,4,5,2,1,A wedding invitation,2,4,1,5,3,An elevator,1,5,2,4,3,I consent to take part in this study,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,4,3,5,,,,,,,,,,,,,,,,,,,,,25,Female,White,"$75,000 - $95,000",Other,apple,Four-year college degree,0,Very liberal,NA,,NA,NA,0,0,0,equal,"People are equally kind, honest, nice, and good today compared to about 25 years ago",equal,0,0,0,today,5,10
