,source_name,question,source,,year,N,worse
1,Pew,"(As I read a list of some problems, please tell me if you think the country is making progress, losing ground, or if things are about the same as they have been.)...Low moral and ethical standards...Do you think the country is making progress, losing ground, or are things about the same as they have been when it comes to...low moral and ethical standards?",Roper Center iPoll Database (proprietary),,2008,1489,***
2,NBC News/Wall Street Journal,"(For each of the decades I name, please tell me whether you feel the nation's morals and values were much higher in that decade than they are now, somewhat higher than now, somewhat lower than now, or much lower than they are now.)... The 1960s",Roper Center iPoll Database (proprietary),,1996,2003,***
3,NBC News/Wall Street Journal,"(For each of the decades I name, please tell me whether you feel the nation's morals and values were much higher in that decade than they are now, somewhat higher than now, somewhat lower than now, or much lower than they are now.)... The 1970s",Roper Center iPoll Database (proprietary),,1996,2003,***
4,NBC News/Wall Street Journal,"(For each of the decades I name, please tell me whether you feel the nation's morals and values were much higher in that decade than they are now, somewhat higher than now, somewhat lower than now, or much lower than they are now.)... The 1980s",Roper Center iPoll Database (proprietary),,1996,2003,***
5,"Center for Survey Research, University of Virginia","(How strong would you say the US (United States) decline or improvement is in each of the following areas...strong decline, moderate decline, holding steady, moderate improvement, or strong improvement?)... American moral and ethical standards",Roper Center iPoll Database (proprietary),,1996,2047,***
6,NORC,"(I'd like to ask you a few questions about civility in our society. By civility, I mean showing respect for the people you deal with. For example, respecting other people's opinions, being courteous, helping others, and showing good sportsmanship.)...In general, when most Americans debate issues facing the country do you think they are more civil today compared to 10 years ago, less civil, or about as civil as they were 10 years ago? ",Roper Center iPoll Database (proprietary),,2011,1006,***
7,Gallup,"(I'm going to read you several more statements and ask you whether, in general, you agree or disagree.)... Moral and ethical standards are declining so much in America these days that something drastic must be done.",Roper Center iPoll Database (proprietary),,1964,1564,***
8,Pew,"(Now I'd like to ask some questions about some of the problems we face in this country today. For each problem I mention, please tell me how you think affecting this country today, and how much this problem affects you personally.)...Do you think the problem of...low moral and ethical standards is about the same as it has been, that the country is making progress in this area, or that the country is losing ground?",Roper Center iPoll Database (proprietary),,1996,1204,***
9,NBC News/Wall Street Journal,"(Over the past decade of 2000 to 2009, do you feel that America has gained ground, has stayed about the same, or has lost ground in each of the following areas?)...Moral values",Roper Center iPoll Database (proprietary),,2009,1008,***
10,NBC News/Wall Street Journal,"(Over the past decade of 2000 to 2009, do you feel that America has gained ground, has stayed about the same, or has lost ground in each of the following areas?)...Treating one another with respect",Roper Center iPoll Database (proprietary),,2009,1008,***
11,"Center for Survey Research, University of Virginia","(Please consider the following statements and tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with each statement.)... In general, Americans lived more moral and ethical lives 50 years ago.",Roper Center iPoll Database (proprietary),,1996,2047,***
12,NBC News,"(Thinking about where America stands today as compared to four years ago, for each of the following things, please tell me whether you think that things are better off, about the same, or worse off than they were four years ago.)...Moral values and standards",Roper Center iPoll Database (proprietary),,2005,1007,***
13,NBC/Wall Street Journal,"Compared to ten years ago, would you say that Americans now are more polite to each other or less polite to each other?",Roper Center iPoll Database (proprietary),,1999,1006,***
14,NORC,"Compared with 10 years ago, would you say that when it comes to...the willingness of people to help each other, things in this country have generally gotten better, gotten worse, or stayed about the same? (If Better/Worse, ask:) Is that a lot better/worse or a little better/worse?",Roper Center iPoll Database (proprietary),,2011,1087,***
15,NORC,"Compared with 10 years ago, would you say that when it comes to...the willingness of people to help each other, things in this country have generally gotten better, gotten worse, or stayed about the same? Is that a lot better/worse or a little better/worse?",Roper Center iPoll Database (proprietary),,2013,1008,***
16,Harris Survey,"Compared with ten years ago, would you say morality in the United States is lower today, higher, or not changed much? ",Roper Center iPoll Database (proprietary),,1971,1600,***
17,CBS News/New York Times,"Considering just the moral climate of the country today, do you feel things in this country are generally going in the right direction or do you feel things have pretty seriously gotten off on the wrong track?",Roper Center iPoll Database (proprietary),,2004,885,***
18,Pew,"Do you think that Americans used to treat each other with more respect and courtesy in the past, or is this just nostalgia for a past that never existed?",Roper Center iPoll Database (proprietary),,2002,2013,***
19,Parents Magazine Poll,"Do you think that over the last few decades our society has become less honest and ethical in its behavior, more honest and ethical, or has there been no change in the extent to which people behave honestly and ethically?",Roper Center iPoll Database (proprietary),,1989,1000,***
20,Gallup,"Generally speaking, do you think moral values have become stronger in the U.S. (United States) in the last twenty-five years, do you think they have become weaker or do you think they have stayed about the same?",Roper Center iPoll Database (proprietary),,1996,1001,***
21,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",Roper Center iPoll Database (proprietary),,2006,739,***
22,Time/Yankelovich,"Now here are some statements which represent some traditional American values. Will you tell me for each one whether you strongly believe in this statement, partially believe it or don't believe it. The state of morality in this country is bad and getting worse.",Roper Center iPoll Database (proprietary),,1976,951,***
23,"Center for Survey Research and Analysis, University of Connecticut","Overall, would you say that the moral values in American society are improving, deteriorating, or aren't they changing all that much?",Roper Center iPoll Database (proprietary),,1997,1026,***
24,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2019,1009,***
25,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2018,1024,***
26,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2017,1011,***
27,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2016,1025,***
28,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2015,1024,***
29,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2014,1028,***
30,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2013,1535,***
31,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2012,1024,***
32,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2011,1018,***
33,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2010,1029,***
34,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2009,1015,***
35,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2008,1017,***
36,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2007,1003,***
37,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2006,1002,***
38,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2005,1005,***
39,Gallup/CNN/USA Today,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2004,1015,***
40,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2004,1000,***
41,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2003,1005,***
42,Gallup,"Right now, do you think the state of moral values in this country as a whole is getting better or getting worse?",Roper Center iPoll Database (proprietary),,2002,1012,***
43,Opinion Research Corporation,Some people say there has been a general letdown in ethical and moral standards among the American people as a whole in recent years. Others say ethical and moral standards are as good as ever. Which do you agree with? ,Roper Center iPoll Database (proprietary),,1964,1021,***
