X,Source,Question,Country,Year,N,worse,link,note
1,Gallup,"Do you believe that society as a whole is less moral today than it was 50 years ago, or do you not believe that?",UK,1996,1000,***,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
2,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",Brazil,2006,700,94,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
3,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",Chile,2006,600,71,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
4,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",Guatemala,2006,1005,93,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
5,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",Kenya,2006,655,94,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
6,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",Nigeria,2006,650,91,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
7,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",South Africa,2006,800,82,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
8,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",India,2006,726,98,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
9,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",Philippines,2006,1000,93,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
10,Pew,"Here is a list of things that may or may not be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem, or not a problem at all. Moral decline.",South Korea,2006,600,94,https://www.pewresearch.org/religion/dataset/spirit-and-power-a-10-country-survey-of-pentecostals/,worse = moderately large + very large. Survey of Pentecostals.
11,YouGov,"Compared with ten years ago, when Labour came to power, do you think Britain is a fairer society, or less fair, or has there been little change?",UK,2007,589,13,https://psr.iq.harvard.edu/polling_nations_0,
12,Eurobarometer,"If you compare the situation with 5 years ago, would you say that the following types of discrimination are more common or less common in our country? Discrimination on the basis of ethnic origin.",EU,2007,51718,48,https://europa.eu/eurobarometer/,
13,Eurobarometer,"If you compare the situation with 5 years ago, would you say that the following types of discrimination are more common or less common in our country? Discrimination on the basis of gender.",EU,2007,51718,27,https://europa.eu/eurobarometer/,
14,Eurobarometer,"If you compare the situation with 5 years ago, would you say that the following types of discrimination are more common or less common in our country? Discrimination on the basis of sexual orientation.",EU,2007,51718,31,https://europa.eu/eurobarometer/,
15,Eurobarometer,"If you compare the situation with 5 years ago, would you say that the following types of discrimination are more common or less common in our country? Discrimination on the basis of age.",EU,2007,51718,38,https://europa.eu/eurobarometer/,
16,Eurobarometer,"If you compare the situation with 5 years ago, would you say that the following types of discrimination are more common or less common in our country? Discrimination on the basis of religion or beliefs.",EU,2007,51718,42,https://europa.eu/eurobarometer/,
17,Eurobarometer,"If you compare the situation with 5 years ago, would you say that the following types of discrimination are more common or less common in our country? Discrimination on the basis of disability.",EU,2007,51718,30,https://europa.eu/eurobarometer/,
