StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,QID41,today,2010,2000,manip_check,explain_more,explain_less,age,gender,race,check,check_4_TEXT,education,political_ideology,party,kids,oldest_kid,comments,PROLIFIC_PID
6/11/20 12:41,6/11/20 12:44,IP Address,100,197,TRUE,6/11/20 12:44,R_3Pc32OPyYP6Kt6m,,,,,37.31770325,-122.0438004,anonymous,EN,I consent to take part in this study,5eaa0cc0fb0fca17a3006d9c,3,6,6,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"Politicians and the leadership in countries stoking fears, using divisive language, deliberately setting one group of people against another.",62,Male,Asian,Other,sky,Graduate school,Somewhat liberal,Lean Democrat,2,1989,,5eaa0cc0fb0fca17a3006d9c
6/11/20 12:50,6/11/20 12:54,IP Address,100,202,TRUE,6/11/20 12:54,R_2yj4VmRqTTzqBrf,,,,,42.36950684,-83.47689819,anonymous,EN,I consent to take part in this study,5e6548dbb47a552c541cb053,5,5,5,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,68,Male,Asian,Other,sky,Four-year college degree,Somewhat liberal,Lean Democrat,2,1992,none,5e6548dbb47a552c541cb053
6/11/20 12:48,6/11/20 12:54,IP Address,100,382,TRUE,6/11/20 12:54,R_3MGrxcUHXv0ECg6,,,,,32.65390015,-116.9772949,anonymous,EN,I consent to take part in this study,5d8a64630ffb9c001746ca2c,4,4,5,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,The easiness of being rude and disrespectful via the Internet. Lack of respect for basic differences.,61,Male,Asian,Other,sky,Associate's degree,Somewhat conservative,Lean Republican,2,1996,None at this time,5d8a64630ffb9c001746ca2c
6/11/20 12:53,6/11/20 12:55,IP Address,100,95,TRUE,6/11/20 12:55,R_2e9z4rdrXG598xl,,,,,26.46960449,-81.8132019,anonymous,EN,I consent to take part in this study,5b6515aff7798c00018291b8,3,3,3,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,30,Female,White,Other,sky,Associate's degree,Neither liberal nor conservative,Independent,0,,,5b6515aff7798c00018291b8
6/11/20 12:50,6/11/20 12:55,IP Address,100,283,TRUE,6/11/20 12:55,R_1cZFgpzAEsdngpI,,,,,40.43249512,-79.86299896,anonymous,EN,I consent to take part in this study,5ee1339549cc8212bff574cd,5,5,6,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,Social media and IT make people to discuss on everything nowadays. Most people feel compelled to argue about anything ,60,Female,Hispanic or Latino Origin,Introverted,,Graduate school,Neither liberal nor conservative,Independent,1,2000,,5ee1339549cc8212bff574cd
6/11/20 12:48,6/11/20 12:56,IP Address,100,459,TRUE,6/11/20 12:56,R_3qEDdl5Zp1Q7grA,,,,,29.7026062,-98.47589874,anonymous,EN,I consent to take part in this study,5e367950eef5b360f23350af,6,5,6,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",The connection that people have online nowadays lets us know more about the ppl around us ,,19,Male,Hispanic or Latino Origin,Extroverted,,High school diploma,Somewhat liberal,Independent,0,,,5e367950eef5b360f23350af
6/11/20 12:57,6/11/20 12:59,IP Address,100,148,TRUE,6/11/20 12:59,R_1JDVY6xLJCjQJdj,,,,,29.79530334,-95.49680328,anonymous,EN,I consent to take part in this study,56eaa06c26bcc7000ccd6e63,6,5,3,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,I do not feel like I am judged or controlled today.  Back then was a very hard time for me in my life.,57,Female,Asian,Neither extroverted nor introverted,,Associate's degree,Very liberal,Strongly Democrat,0,,,56eaa06c26bcc7000ccd6e63
6/11/20 12:58,6/11/20 13:00,IP Address,100,81,TRUE,6/11/20 13:00,R_2YqPugiG29tagHk,,,,,39.44270325,-77.55419922,anonymous,EN,I consent to take part in this study,5d27db3d44cdee000184f4eb,4,5,4,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,27,Male,White,Other,sky,Associate's degree,Somewhat liberal,Lean Democrat,0,,,5d27db3d44cdee000184f4eb
6/11/20 13:01,6/11/20 13:02,IP Address,100,62,TRUE,6/11/20 13:02,R_1JOtVWtDTl1BTqf,,,,,52.23939514,21.03619385,anonymous,EN,I consent to take part in this study,5e8b8ae295381006326bd424,4,5,3,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",technology,,20,Female,White,Other,sky,High school diploma,Neither liberal nor conservative,Independent,0,,,5e8b8ae295381006326bd424
6/11/20 13:03,6/11/20 13:04,IP Address,100,104,TRUE,6/11/20 13:04,R_2YEzDWyyOb5NjSB,,,,,35.39349365,-119.1204987,anonymous,EN,I consent to take part in this study,5edbf6debd51e40d3257cf4e,3,5,6,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",There was no social media.,,20,Male,White,Introverted,,High school diploma,Neither liberal nor conservative,Lean Republican,0,,,5edbf6debd51e40d3257cf4e
6/11/20 13:00,6/11/20 13:05,IP Address,100,290,TRUE,6/11/20 13:05,R_cSULdEdE194IZep,,,,,48.74940491,-122.4896011,anonymous,EN,I consent to take part in this study,5662218473ac8700058095b1,6,7,7,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"The rise of fascism in the United States. While most people are decent, one third of the nation has fallen into a vicious cult. I understand that this response could be viewed as emblematic of the ""real"" problem, but it is not. Fascism in the US is a problem, which we are not even willing to recognize because of a pervasive ""equivalence"" narrative.  ",61,Male,White,Other,sky,Graduate school,Somewhat conservative,Independent,3,1990,Good luck!,5662218473ac8700058095b1
6/11/20 13:03,6/11/20 13:06,IP Address,100,193,TRUE,6/11/20 13:06,R_1mknxEYvjQnTmD1,,,,,39.05369568,-94.59059906,anonymous,EN,I consent to take part in this study,5d5b0dd511936d001ad6602d,5,6,6,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,The world is more dangerous now and people are more ambitious now as well ,28,Female,Hispanic or Latino Origin,Other,sky,Graduate school,Somewhat liberal,Lean Democrat,0,,,5d5b0dd511936d001ad6602d
6/11/20 13:06,6/11/20 13:07,IP Address,100,57,TRUE,6/11/20 13:07,R_27vVaPwwHMgCEHc,,,,,34.74710083,-118.3686981,anonymous,EN,I consent to take part in this study,5621cf44ed6e5a000bc7efd1,5,5,5,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,32,Male,White,Other,sky,Graduate school,Very liberal,Lean Democrat,2,2013,,5621cf44ed6e5a000bc7efd1
6/11/20 13:07,6/11/20 13:08,IP Address,100,45,TRUE,6/11/20 13:08,R_2sRRd4j0eJMpWap,,,,,32.84249878,-117.2483978,anonymous,EN,I consent to take part in this study,5ad1ecc8a010190001b360d3,4,4,4,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,25,Female,White,Introverted,,Four-year college degree,Very liberal,Strongly Democrat,0,,,5ad1ecc8a010190001b360d3
6/11/20 13:07,6/11/20 13:10,IP Address,100,171,TRUE,6/11/20 13:10,R_246DhMSPvOC510R,,,,,39.82940674,-104.9095001,anonymous,EN,I consent to take part in this study,597e78d513dc5e0001e2f818,5,6,6,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,Manipulation of society causing polarization by special interest profiting from discord.,65,Male,White,Other,sky,Graduate school,Somewhat liberal,Strongly Democrat,2,1985,no,597e78d513dc5e0001e2f818
6/11/20 13:07,6/11/20 13:10,IP Address,100,148,TRUE,6/11/20 13:10,R_2yeaDGxJbPrl7gC,,,,,40.33230591,-80.08059692,anonymous,EN,I consent to take part in this study,5d4320275a5b010001523979,5,5,5,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,70,Male,White,Other,sky,Graduate school,Somewhat liberal,Independent,1,1977,,5d4320275a5b010001523979
6/11/20 13:08,6/11/20 13:10,IP Address,100,121,TRUE,6/11/20 13:10,R_2WAMTKjCcQEnvcs,,,,,33.248703,-111.6343002,anonymous,EN,I consent to take part in this study,570d4bf842a1db0008c4d73a,4,4,5,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago","Lack of social media, the constant division, and the subsequent distancing of individuals and groups. ",,68,Male,White,Other,sky,Graduate school,Neither liberal nor conservative,Independent,3,1980,no,570d4bf842a1db0008c4d73a
6/11/20 13:09,6/11/20 13:11,IP Address,100,70,TRUE,6/11/20 13:11,R_2yef06CtaPfBvFD,,,,,33.09509277,-96.88050079,anonymous,EN,I consent to take part in this study,5e55e4deb8c9ad5f6a5290c5,5,5,5,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,33,Female,Asian,Other,sky,Graduate school,Somewhat liberal,Lean Democrat,0,,,5e55e4deb8c9ad5f6a5290c5
