StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age_1,footwear,footwear_DO_1,footwear_DO_2,footwear_DO_3,footwear_DO_4,footwear_DO_5,rsvp,rsvp_DO_1,rsvp_DO_2,rsvp_DO_3,rsvp_DO_4,rsvp_DO_5,elevator,elevator_DO_1,elevator_DO_2,elevator_DO_3,elevator_DO_4,elevator_DO_5,consent,today,2015,2010,2005,2000,1995,1990,1985,1980,1975,2000_born,1995_born,1990_born,1985_born,1980_born,1975_born,1970_born,1965_born,1960_born,1955_ born,check_20,check_25,check_30,check_35,check_40,check_45,check_50,check_55,check_60,check_65,old_today,young_today,old_past,explain_more_20,explain_more_25,explain_more_30,explain_more_35,explain_more_40,explain_more_45,explain_more_50,explain_more_55,explain_more_60,explain_more_65,explain_less_20,explain_less_25,explain_less_30,explain_less_35,explain_less_40,explain_less_45,explain_less_50,explain_less_55,explain_less_60,explain_less_65,age,gender,race,income,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments
1/29/20 10:26,1/29/20 10:26,IP Address,100,6,TRUE,1/29/20 10:26,R_3nc3kbt0m2BNa13,,,,,40.54679871,-74.18039703,anonymous,EN,70+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20 10:26,1/29/20 10:26,IP Address,100,7,TRUE,1/29/20 10:26,R_3panOvDZeh1HBtu,,,,,45.72059631,-123.9057007,anonymous,EN,70+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20 10:26,1/29/20 10:26,IP Address,100,10,TRUE,1/29/20 10:26,R_1owfnEEUsemzeRk,,,,,38.76690674,-93.72910309,anonymous,EN,70+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20 10:26,1/29/20 10:26,IP Address,100,32,TRUE,1/29/20 10:26,R_1Edkf2aryCrkXyy,,,,,43.80130005,-91.21340179,anonymous,EN,25-29,Flip-flops,5,2,3,4,1,A wedding invitation,5,3,2,1,4,An elevator,3,2,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20 10:26,1/29/20 10:26,IP Address,100,13,TRUE,1/29/20 10:26,R_3fjDdDuRqqpsPgY,,,,,26.41220093,-80.08750153,anonymous,EN,35-39,High heels,3,1,4,2,5,A diploma,3,5,2,1,4,A pizza,4,5,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20 10:26,1/29/20 10:26,IP Address,100,43,TRUE,1/29/20 10:26,R_vVOmgUoHMm10zoR,,,,,32.44129944,-81.77110291,anonymous,EN,25-29,Bell bottoms,2,3,1,5,4,A diary,2,1,5,4,3,An elevator,1,4,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20 10:26,1/29/20 10:27,IP Address,100,22,TRUE,1/29/20 10:27,R_sZurGRqXNYdU0Br,,,,,35.79800415,-78.39260101,anonymous,EN,18-24,Bell bottoms,1,2,3,5,4,A thank-you note,4,5,2,1,3,An elevator,4,1,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20 10:26,1/29/20 10:27,IP Address,100,32,TRUE,1/29/20 10:27,R_2tnkbmarUShGOJG,,,,,40.76519775,-73.95880127,anonymous,EN,18-24,Bell bottoms,2,3,5,4,1,A wedding invitation,1,3,4,5,2,A pizza,2,1,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20 10:25,1/29/20 10:27,IP Address,100,79,TRUE,1/29/20 10:27,R_1QfOHooCX5YAWyx,,,,,39.13879395,-77.17259979,anonymous,EN,25-29,Bell bottoms,5,2,1,4,3,A wedding invitation,4,3,2,1,5,An elevator,4,1,3,2,5,I consent to take part in this study,6,6,,,,,,,,,,6,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 25 years ago",,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,26,Female,White,"$55,000 - $75,000",Other,apple,Graduate school,0,Neither liberal nor conservative,,
1/29/20 10:26,1/29/20 10:27,IP Address,100,13,TRUE,1/29/20 10:27,R_3kjDtZ0C9tIPoj1,,,,,33.0809021,-96.72409821,anonymous,EN,30-34,Sneakers,4,3,1,2,5,A thank-you note,3,5,4,2,1,A person,1,2,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
