,Source,Question,Response options,Years,N,b,R2,% of 89% HDI in ROPE,data_source
1,World Values Survey,"And for which, if any, are you currently doing unpaid voluntary work? Unpaid work social welfare service for elderly, handicapped or deprived people",[mentioned or not],1981-2018 (but varies by country),49958,0.007,0.008,100,https://www.worldvaluessurvey.org/wvs.jsp
2,World Values Survey,Here are some more aspects of a job that people say are important. Please look at them and tell me which ones you personally think are important in a job? Useful for society,[mentioned or not],1981-2018 (but varies by country),21905,0.05,0.001,37%,https://www.worldvaluessurvey.org/wvs.jsp
3,World Values Survey,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.  Not being selfish (unselfishness)",[mentioned or not],1981-2018 (but varies by country),404605,0.003,0.003,100,https://www.worldvaluessurvey.org/wvs.jsp
4,World Values Survey,How much respect is there for individual human rights nowadays in this country?,"1 = a lot, 4 = no respect at all",1981-2018 (but varies by country),288573,-0.006,0.0009,100,https://www.worldvaluessurvey.org/wvs.jsp
5,World Values Survey,"Now I will briefly describe some people. Using this card, would you please indicate for each description whether that person is very much like you, like you, somewhat like you, not like you, or not at all like you? :   ""It is important to help people living nearby; to care for their needs""","1 = not at all like me, 6 = very much like me",1981-2018 (but varies by country),111196,-0.02,0.001,100,https://www.worldvaluessurvey.org/wvs.jsp
6,World Values Survey,"Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five.  Tolerance and respect for other people",[mentioned or not],1981-2018 (but varies by country),408509,0.003,0.002,100,https://www.worldvaluessurvey.org/wvs.jsp
7,World Values Survey,"I‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?  People of another religion","1 = trust completely, 4 = do not trust at all",1981-2018 (but varies by country),212738,-0.003,0.00009,100,https://www.worldvaluessurvey.org/wvs.jsp
8,World Values Survey,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?  People of another nationality","1 = trust completely, 4 = do not trust at all",1981-2018 (but varies by country),211855,-0.002,0.00004,100,https://www.worldvaluessurvey.org/wvs.jsp
9,World Values Survey,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?  People you know personally","1 = trust completely, 4 = do not trust at all",1981-2018 (but varies by country),224599,0.008,0.001,100,https://www.worldvaluessurvey.org/wvs.jsp
10,World Values Survey,"And for which, if any, are you currently doing unpaid voluntary work? Unpaid work for human rights",[mentioned or not],1981-2018 (but varies by country),48958,0.0007,0.0004,100,https://www.worldvaluessurvey.org/wvs.jsp
11,World Values Survey,"Using the responses on this card, could you tell me how much you trust [Nationality] people in general?","1 = trust completely, 4 = do not trust at all",1981-2018 (but varies by country),21314,0.17,0.003,29.36,https://www.worldvaluessurvey.org/wvs.jsp
12,World Values Survey,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?  People you meet for the first time","1 = trust completely, 4 = do not trust at all",1981-2018 (but varies by country),221110,-0.004,0.0001,100,https://www.worldvaluessurvey.org/wvs.jsp
13,World Values Survey,"I ‘d like to ask you how much you trust people from various groups. Could you tell me for each whether you trust people from this group completely, somewhat, not very much or not at all?  Your family","1 = trust completely, 4 = do not trust at all",1981-2018 (but varies by country),22109,-0.32,0.02,13.1,https://www.worldvaluessurvey.org/wvs.jsp
14,World Values Survey,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?","1 = most people can be trusted, 2 = need to be very careful",1981-2018 (but varies by country),393873,0.003,0.002,100,https://www.worldvaluessurvey.org/wvs.jsp
