,Source,Question,Response options,Years,N,b,R2,% of 89% HDI in ROPE,data_source,
1,Gallup,How would you rate the overall state of moral values in this country today?,"Excellent [4], Good [3], Only Fair [2], Poor [1]",2002-2020,"20,863",-0.006,0.002,100,"https://news.gallup.com/poll/1681/moral-issues.aspx, Roper Center iPoll Database",proprietary data
2,Gallup,"Next, we'd like to know how you feel about the state of the nation in each of the following areas. For each one, please say whether you are -- very satisfied, somewhat satisfied, somewhat dissatisfied or very dissatisfied. If you don't have enough information about a particular subject to rate it, just say so. How about -- the moral and ethical climate?","Very satisfied [4], Somewhat satisfied [3], Somewhat dissatisfied [2], Very dissatisfied [1]","2001-2008, 2012-2020","17,015",-0.01,0.008,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
3,Gallup,"Which of the following things, if any, have you, personally, done in the past 12 months? How about Donated money to any other charitable cause","Yes [1], No [0]","2001, 2003, 2005, 2008, 2009a, 2009b, 2013, 2017, 2020","9,222",-0.02,0.002,100,Roper Center iPoll Database,proprietary data
4,Gallup,"Which of the following things, if any, have you, personally, done in the past 12 months? Given blood","Yes [1], No [0]","2001, 2003, 2005, 2008, 2013, 2017, 2020","7,131",-0.01,0.001,100,Roper Center iPoll Database,proprietary data
5,Gallup,"Which of the following things, if any, have you, personally, done in the past 12 months? Volunteered your time to any other charitable cause","Yes [1], No [0]","2001, 2003, 2005, 2008, 2009a, 2009b, 2013, 2017, 2020","9,222",0.006,0.0003,100,Roper Center iPoll Database,proprietary data
6,Gallup,"Does your supervisor always create an environment that is trusting and open, or not?  (asked only of those with a job and a supervisor)","Yes [1], No [0]","2008, 2009, 2010, 2011, 2012, 2013, 2014","957,762",0.02,0.0001,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
7,Gallup,Do you feel safe walking alone at night in the city or area where you live?,"Yes [1], No [0]","2008, 2009, 2010, 2011, 2012, 2013","1,774,388",0.01,0.00005,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
8,Gallup,"On a five-point scale, where 5 means strongly agree and 1 means strongly disagree, please rate your level of agreement with the following items. You always feel safe and secure.",1 [strongly disagree] - 5 [strongly agree],2014-2017,"691,671",0.001,0.000001,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
9,Gallup,Have you done any of the following in the past month? How about volunteered your time to an organization?,"Yes [1], No [0]",2007-2019,"12,126",-0.02,0.001,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
10,Gallup,"Within the last 12 months, have you had money or property stolen from you or another household member?","Yes [1], No [0]",2006-2019,"12,561",0.002,0.000007,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
11,Gallup,"Now, please think about yesterday, from the morning until the end of the day. Think about where you were, what you were doing, who you were with, and how you felt. Were you treated with respect all day yesterday?","Yes [1], No [0]",2006-2019,"14,255",0.009,0.0002,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
12,Gallup,Do you feel safe walking alone at night in the city or area where you live?,"Yes [1], No [0]",2006-2019,"12,505",-0.02,0.0007,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
13,Gallup,"If you were in trouble, do you have relatives or friends you can count on to help you whenever you need them, or not?","Yes [1], No [0]","2006, 2008-2019","12,935",-0.04,0.004,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
14,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? Your house or apartment broken into.","Yes [1], No [0]",2000-2019,"19,348",-0.004,0.00006,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
15,Gallup,"Within the past 12 months, have you been assaulted or mugged?","Yes [1], No [0]",2015-2019,"4,118",-0.11,0.002,87.59,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
16,Gallup,"Next, I'm going to read some things people do because of their concern over crime. Please tell me which, if any, of these things you, yourself, do or have done. Keep a dog for protection.","Yes [1], No [0]","2000, 2001, 2002, 2003, 2005, 2007 ","6,064",-0.004,0.00002,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
17,Gallup,Have you done any of the following in the past month? How about helped a stranger or someone you didn't know who needed help?,"Yes [1], No [0]",2007-2019,"12,126",0.0009,0.000002,100,https://www.gallup.com/analytics/213617/gallup-analytics.aspx,proprietary data
18,Gallup,"Next, I'm going to read some things people do because of their concern over crime. Please tell me which, if any, of these things you, yourself, do or have done. Avoid going to certain places or neighborhoods you might otherwise want to go to.","Yes [1], No [0]","2000, 2001, 2002, 2003, 2005, 2007","6,064",-0.01,0.0002,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
19,Gallup,"Next, I'm going to read some things people do because of their concern over crime. Please tell me which, if any, of these things you, yourself, do or have done. Carry mace or pepper spray.","Yes [1], No [0]","2000, 2001, 2002, 2003, 2005, 2007","6,064",-0.03,0.0006,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
20,Gallup,"Next, I'm going to read some things people do because of their concern over crime. Please tell me which, if any, of these things you, yourself, do or have done. Had a burglar alarm installed in your home.","Yes [1], No [0]","2000, 2001, 2002, 2003, 2005, 2007","6,064",0.06,0.004,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
21,Gallup,"Next, I'm going to read some things people do because of their concern over crime. Please tell me which, if any, of these things you, yourself, do or have done. Carry a knife for defense.","Yes [1], No [0]","2000, 2001, 2002, 2003, 2005, 2007","6,064",0.03,0.001,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
22,Gallup,"Next, I'm going to read some things people do because of their concern over crime. Please tell me which, if any, of these things you, yourself, do or have done. Carry a gun for defense.","Yes [1], No [0]","2000, 2001, 2002, 2003, 2005, 2007","6,064",0.005,0.00002,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
23,Gallup,"Next, I'm going to read some things people do because of their concern over crime. Please tell me which, if any, of these things you, yourself, do or have done. Bought a gun for protection of yourself or your home.","Yes [1], No [0]","2000, 2001, 2002, 2003, 2005, 2007","6,064",-0.004,0.00002,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
24,Gallup,"Have you, personally, EVER been the victim of a crime where you were physically harmed, or threatened with physical harm?","Yes [1], No [0]","2000, 2011","2,024",-0.02,0.001,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
25,Gallup,"Next, I'm going to read a list of problems facing the country. For each one, please tell me if you personally worry about this problem a great deal, a fair amount, only a little or not at all? First, how much do you personally worry about crime and violence?","Great deal [4], fair amount [3], only a little [2], not at all [1]","2001-2008, 2010-2020","18,789",-0.005,0.001,100,Roper Center iPoll Database,proprietary data
26,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? You or another household member had your computer or smartphone hacked and the information stolen by unauthorized persons.","Yes [1], No [0]","2003-2011, 2014","10,154",0.06,0.005,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. * Less than 0.5%;�2001-2011�WORDING: ""...victim of a computer or Internet-based crime such as fraud or hacking, while using your home computer..."" Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
27,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? You or another household member had information from a credit card used at a store stolen by computer hackers.","Yes [1], No [0]",2014-2016,"3,049",-0.007,0.000005,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
28,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? You or another household member had personal, credit card or financial information stolen by computer hackers","Yes [1], No [0]",2017-2019,"3,089",-0.05,0.0003,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
29,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? You or another household member was the victim of identity theft.","Yes [1], No [0]","2009, 2010, 2011, 2013, 2015-2019 ","9,212",0.06,0.007,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
30,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? You or another household member was sexually assaulted.","Yes [1], No [0]","2000, 2002-2011, 2013-2019","18,337",0.01,0.0003,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
31,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? You or another household member mugged or physically assaulted.","Yes [1], No [0]","2000-2011, 2013-2019","19,348",-0.008,0.0003,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
32,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? Money or property taken from you or another household member by force, with gun, knife, weapon or physical attack, or by threat of force.","Yes [1], No [0]","2000-2011, 2013-2019","19,348",-0.002,0.00001,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
33,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? A home, car, or property owned by you or another household member vandalized.","Yes [1], No [0]","2000-2011, 2013-2019","19,348",-0.008,0.0003,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
34,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? A car owned by you or another household member stolen.","Yes [1], No [0]","2000-2011, 2013-2019","19,348",-0.02,0.001,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
35,Gallup,"Please tell me which, if any, of these incidents have happened to you or your household within the last twelve months? Money or property stolen from you or another member of your household.","Yes [1], No [0]","2000-2011, 2013-2019","19,348",0.006,0.0002,100,"https://news.gallup.com/poll/1603/Crime.aspx, Roper Center iPoll Database","proprietary data. Note: Ns could not be located for all years. For those years where Ns were not available, the average N of all other years was used."
