StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,footwear,footwear_DO_1,footwear_DO_2,footwear_DO_3,footwear_DO_4,footwear_DO_5,rsvp,rsvp_DO_1,rsvp_DO_2,rsvp_DO_3,rsvp_DO_4,rsvp_DO_5,elevator,elevator_DO_1,elevator_DO_2,elevator_DO_3,elevator_DO_4,elevator_DO_5,consent,birth_year,overall,all_change,all_replacement,known_in_check,known_change,replacements_yes,replacements_yes,known_replacement,final_check,age,gender,race,income,check_3,check_3_4_TEXT,education,kids,political_ideology,oldest_kid,comments
5/22/20 9:44,5/22/20 9:44,IP Address,100,14,TRUE,5/22/20 9:44,R_2Cgh9LzV5xuJJVB,,,,,32.57989502,-117.069397,anonymous,EN,Slippers,4,1,5,3,2,A thank-you note,3,2,5,4,1,A pizza,2,3,4,1,5,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:44,5/22/20 9:45,IP Address,100,27,TRUE,5/22/20 9:45,R_1gBe0jzwEc4UOgn,,,,,33.49169922,-111.9837036,anonymous,EN,Flip-flops,3,4,5,2,1,A diploma,5,1,2,4,3,A book,5,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:45,5/22/20 9:45,IP Address,100,28,TRUE,5/22/20 9:45,R_31XTqg0KWm6LGEi,,,,,32.2460022,-110.9177017,anonymous,EN,Slippers,1,3,5,2,4,A wedding invitation,2,3,4,5,1,A pizza,1,3,4,5,2,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:45,5/22/20 9:45,IP Address,100,33,TRUE,5/22/20 9:45,R_1duzswkugnNokxi,,,,,41.47120667,-81.52480316,anonymous,EN,Slippers,2,3,5,1,4,A diary,1,2,4,5,3,A pizza,3,5,1,4,2,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:45,5/22/20 9:45,IP Address,100,35,TRUE,5/22/20 9:45,R_2YDG8et01LJDB7C,,,,,32.70970154,-117.1228027,anonymous,EN,Bell bottoms,2,4,5,1,3,A thank-you note,2,1,3,4,5,A pizza,4,2,3,5,1,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:45,5/22/20 9:45,IP Address,100,14,TRUE,5/22/20 9:46,R_3ksUCGEawFVwrZd,,,,,33.00360107,-96.88339996,anonymous,EN,Flip-flops,3,4,1,5,2,A diary,4,2,5,1,3,A pizza,3,5,1,2,4,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:45,5/22/20 9:46,IP Address,100,47,TRUE,5/22/20 9:46,R_1gBGMsR1s1WqEcN,,,,,33.82060242,-84.02290344,anonymous,EN,Sneakers,3,5,1,4,2,A diploma,2,5,3,4,1,A person,2,1,3,5,4,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:45,5/22/20 9:46,IP Address,100,36,TRUE,5/22/20 9:46,R_2D7UKiZzlB8lgS0,,,,,28.30560303,-81.41970062,anonymous,EN,Bell bottoms,5,1,3,4,2,A wedding invitation,2,4,5,1,3,A pizza,3,1,2,5,4,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:45,5/22/20 9:46,IP Address,100,50,TRUE,5/22/20 9:46,R_2YFeJMK6y7avZD1,,,,,47.69869995,-117.4396973,anonymous,EN,Sneakers,1,5,4,3,2,A diploma,2,5,4,1,3,A book,2,4,1,3,5,,,,,,,,,,,,,,,,,,,,,,
5/22/20 9:45,5/22/20 9:46,IP Address,100,39,TRUE,5/22/20 9:46,R_3hhjNXu1e5weu70,,,,,40.84460449,-74.57489777,anonymous,EN,Bell bottoms,1,2,3,5,4,A diary,5,2,1,4,3,An elevator,2,1,5,3,4,,,,,,,,,,,,,,,,,,,,,,
