StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age_1,footwear,footwear_DO_1,footwear_DO_2,footwear_DO_3,footwear_DO_4,footwear_DO_5,rsvp,rsvp_DO_1,rsvp_DO_2,rsvp_DO_3,rsvp_DO_4,rsvp_DO_5,elevator,elevator_DO_1,elevator_DO_2,elevator_DO_3,elevator_DO_4,elevator_DO_5,consent,today,2015,2010,2005,2000,1995,1990,1985,1980,1975,2000_born,1995_born,1990_born,1985_born,1980_born,1975_born,1970_born,1965_born,1960_born,1955_ born,1980_before,1975_before,1970_before,1965_before,1960_before,1955_before,1950_before,1945_before,1940_before,1935_before,1960_before2,1955_before2,1950_before2,1945_before2,1940_before2,1935_before2,1930_before2,1925_before2,1920_before2,1915_before2,check_60,check_65,check_70,check_75,check_80,check_85,check_90,check_95,check_100,check_105,explain_more_60,explain_more_65,explain_more_70,explain_more_75,explain_more_80,explain_more_85,explain_more_90,explain_more_95,explain_more_100,explain_more_105,explain_less_60,explain_less_65,explain_less_70,explain_less_75,explain_less_80,explain_less_85,explain_less_90,explain_less_95,explain_less_100,explain_less_105,age,gender,race,income,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments
3/5/21 12:44,3/5/21 12:45,IP Address,100,39,TRUE,3/5/21 12:45,R_1l6n2KfigypHY5d,,,,,42.55799866,-82.9980011,anonymous,EN,35-39,Bell bottoms,3,2,5,1,4,A diary,3,1,5,2,4,An elevator,2,3,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/21 12:44,3/5/21 12:45,IP Address,100,69,TRUE,3/5/21 12:45,R_eh9wVGEhNqiyGKl,,,,,38.62730408,-76.98590088,anonymous,EN,25-29,Bell bottoms,2,5,1,4,3,A restaurant bill,5,2,3,4,1,An elevator,3,1,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/21 12:43,3/5/21 12:45,IP Address,100,100,TRUE,3/5/21 12:45,R_2AYCEz2bmxXpF8x,,,,,48.22610474,-101.2974014,anonymous,EN,25-29,Bell bottoms,2,3,1,4,5,A wedding invitation,4,2,3,5,1,An elevator,3,4,1,5,2,I consent to take part in this study,2,5,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 65 years ago",,,,,,,,,,,,,,,,,,,,"The advancement of technology, social media, and people becoming more and more opinionated on every topic.",,,,,,,,,25,Female,White,"$15,000 - $35,000",Other,apple,Some college,0,Very liberal,,
3/5/21 12:43,3/5/21 12:45,IP Address,100,125,TRUE,3/5/21 12:45,R_2YtT7rL2s9VOzxj,,,,,41.31480408,-72.69940186,anonymous,EN,35-39,Bell bottoms,1,2,3,5,4,A wedding invitation,5,1,2,4,3,An elevator,3,4,2,1,5,I consent to take part in this study,5,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,7,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 75 years ago",,,,,,,,,,,,,,,,,,,,People are now insensitive to one another,,,,,,,35,Female,White,"$150,000 - $200,000",Other,apple,Graduate school,2,Somewhat liberal,2015,
3/5/21 12:44,3/5/21 12:45,IP Address,100,108,TRUE,3/5/21 12:45,R_3pfipzb2O4pcnn4,,,,,33.9420929,-118.1302948,anonymous,EN,35-39,Bell bottoms,5,4,1,3,2,A wedding invitation,4,5,2,1,3,An elevator,2,1,4,5,3,I consent to take part in this study,5,,,5,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 75 years ago",,,,,,,,,,,,,,,,,,,,,,,,,,,38,Male,Asian,"$95,000 - $150,000",Other,apple,Four-year college degree,0,Very liberal,,
3/5/21 12:44,3/5/21 12:46,IP Address,100,73,TRUE,3/5/21 12:46,R_3hmdPBXLknShIjT,,,,,33.78379822,-84.44550323,anonymous,EN,30-34,Bell bottoms,5,4,1,2,3,A wedding invitation,5,3,2,1,4,An elevator,3,1,5,4,2,I consent to take part in this study,4,,5,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 70 years ago",,,,,,,,,,,,,,,,,,,,Societal pressures,,,,,,,,34,Male,White,"$35,000 - $55,000",Other,apple,Graduate school,0,Somewhat liberal,,
3/5/21 12:44,3/5/21 12:46,IP Address,100,103,TRUE,3/5/21 12:46,R_3kogiwJM2atwADF,,,,,38.38020325,-75.63469696,anonymous,EN,30-34,Bell bottoms,1,3,5,4,2,A wedding invitation,4,3,2,5,1,An elevator,1,4,5,3,2,I consent to take part in this study,6,,6,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,"People are equally kind, honest, nice, and good today compared to about 70 years ago",,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Male,More than 1 of the above,"$95,000 - $150,000",Other,apple,Graduate school,1,Neither liberal nor conservative,2017,N/a
3/5/21 12:44,3/5/21 12:46,IP Address,100,126,TRUE,3/5/21 12:46,R_PXTA42nE3G3cHip,,,,,32.7191925,-97.45050049,anonymous,EN,45-49,Bell bottoms,4,3,1,2,5,A wedding invitation,2,3,4,5,1,An elevator,1,5,4,3,2,I consent to take part in this study,4,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,"People are LESS kind, honest, nice, and good today compared to about 85 years ago",,,,,,,,,,,,,,,,,,,,I think with the advent of various mandates surrounding masks and social distancing people are becoming less kind and such. We have already seen that in action thanks to social media.,,,,,46,Male,White,"$35,000 - $55,000",Other,apple,Four-year college degree,0,Somewhat conservative,,
3/5/21 12:46,3/5/21 12:46,IP Address,100,8,TRUE,3/5/21 12:46,R_26axwEJcXx70q8K,,,,,41.68530273,-86.23290253,anonymous,EN,70+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/21 12:46,3/5/21 12:46,IP Address,100,9,TRUE,3/5/21 12:46,R_RVLvqf5mmyQ69sR,,,,,26.62390137,-80.09480286,anonymous,EN,70+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
