StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,QID41,today,2012,2002,manip_check,explain_more,explain_less,age,gender,race,check,check_4_TEXT,education,political_ideology,party,kids,oldest_kid,comments,PROLIFIC_PID
11/18/22 9:36,11/18/22 9:39,IP Address,100,191,TRUE,11/18/22 9:39,R_3QLypCYw9mdh5ms,,,,,33.6992,-84.7478,anonymous,EN,I consent to take part in this study,60fffea35327f2e456fac0d6,5,7 (very),7 (very),"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago","i'm sorry i misread the last question.  we are LESS kind, honest and nice than 20 years ago.  it's just a shift in society - less personal interaction and overall reduction in empathy, no compassion for others, etc",,37,Female,White,Introverted,,Four-year college degree,Very liberal,Strongly Democrat,1,2020,my child was born in 2022 and that wasn't an option for me to enter - i got an error message saying it must be 2020 or earlier,
11/18/22 9:37,11/18/22 9:40,IP Address,100,217,TRUE,11/18/22 9:40,R_10uEbidqFaVOSvj,,,,,41.141,-81.4768,anonymous,EN,I consent to take part in this study,6172d845d4803b84550f9a86,4,3,3,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago","I think people are much more accepting, educated , and understanding of people who are different from them, for examples people of different races or members of the lgbqt+ community.  ",,25,Female,White,Other,Sky,Graduate school,Very liberal,Strongly Democrat,0,,,
11/18/22 9:41,11/18/22 9:43,IP Address,100,141,TRUE,11/18/22 9:43,R_2CB7Uiq4zi0qJIU,,,,,42.8337,-78.6317,anonymous,EN,I consent to take part in this study,6110b39223627191d77e9aee,5,5,5,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,45,Female,White,Extroverted,,Some college,Somewhat liberal,Lean Democrat,0,,,
11/18/22 9:48,11/18/22 9:49,IP Address,100,68,TRUE,11/18/22 9:49,R_2pSsCd5kRACUGs0,,,,,39.6667,-105.0854,anonymous,EN,I consent to take part in this study,62cbf0a272c4c044c572343c,6,5,5,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",Social justice initiatives.,,35,Male,White,Other,sky,Graduate school,Somewhat liberal,Lean Democrat,0,,,
11/18/22 9:49,11/18/22 9:52,IP Address,100,185,TRUE,11/18/22 9:52,R_1hB7paPT3xfBxUT,,,,,44.3168,-84.7602,anonymous,EN,I consent to take part in this study,5ddae6c686c886a56450ffd9,4,4,4,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,55,Female,White,Other,"""sky""",High school diploma,Neither liberal nor conservative,Independent,2,1995,,
11/18/22 9:52,11/18/22 9:53,IP Address,100,70,TRUE,11/18/22 9:53,R_3fekarMmMq05XgO,,,,,38.7679,-77.4534,anonymous,EN,I consent to take part in this study,62efd80e052c3a3aaae2d46f,3,4,3,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,19,Male,Asian,Other,sky,Some college,Somewhat liberal,Lean Democrat,0,,,
11/18/22 9:51,11/18/22 9:53,IP Address,100,153,TRUE,11/18/22 9:53,R_3kLppv4uGuW8CES,,,,,32.7797,-96.8022,anonymous,EN,I consent to take part in this study,609f7752499a945b363745a9,5,4,4,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago","Being more aware, accepting, & open about their differences",,36,Male,White,Other,sky,Associate's degree,Very liberal,Strongly Democrat,2,2010,Na,
11/18/22 9:54,11/18/22 9:55,IP Address,100,85,TRUE,11/18/22 9:55,R_3lAfALztrwYyq38,,,,,40.0378,-75.0693,anonymous,EN,I consent to take part in this study,5fb9a27e3bdaed8b802b787b,1 (not very),1 (not very),2,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,Politics.,25,Other,More than 1 of the above,Other,sku,High school diploma,Neither liberal nor conservative,Independent,0,,,
11/18/22 9:59,11/18/22 10:03,IP Address,100,203,TRUE,11/18/22 10:03,R_Qbw7vChLOrBFsml,,,,,42.7377,-84.5239,anonymous,EN,I consent to take part in this study,5d8de6eaafa2c40019f2375e,6,7 (very),7 (very),"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,people today are afraid cause cof crime,60,Female,White,Neither extroverted nor introverted,,High school diploma,Neither liberal nor conservative,Independent,3,1980,,
11/18/22 10:01,11/18/22 10:04,IP Address,100,141,TRUE,11/18/22 10:04,R_30v4vY248itRlqL,,,,,35.199,-101.8951,anonymous,EN,I consent to take part in this study,57d70b2247180e0001f100e3,2,3,4,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,Social media has been a problem with society because people care about how popular they are than anything else.,40,Male,White,Other,sky,Some college,Somewhat conservative,Lean Republican,1,2005,,
11/18/22 10:03,11/18/22 10:05,IP Address,100,83,TRUE,11/18/22 10:05,R_1Limqx0YiCM7Orv,,,,,39.9704,-82.9701,anonymous,EN,I consent to take part in this study,5c1a7f152a85450001a876e0,4,6,5,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,Social media,54,Male,Black or African-American,Other,sky,Four-year college degree,Somewhat liberal,Strongly Democrat,1,1995,,
11/18/22 10:06,11/18/22 10:07,IP Address,100,64,TRUE,11/18/22 10:07,R_O3x9LO6NtP6qpln,,,,,35.0278,-85.1461,anonymous,EN,I consent to take part in this study,59874dcc6ab9880001b5ade8,2,2,2,"I said that people today are EQUALLY kind, honest, nice, and good today as people were 20 years ago",,,42,Female,White,Other,sky,Associate's degree,Very liberal,Independent,0,,,
11/18/22 10:06,11/18/22 10:08,IP Address,100,117,TRUE,11/18/22 10:08,R_UFa0XnT6Z3TFxcd,,,,,47.5741,-122.3975,anonymous,EN,I consent to take part in this study,5d29346269a747001acdb205,3,4,4,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,I feel like the pandemic made people more selfish in the US. Or at least made it more obvious,41,Female,White,Other,Sky,Graduate school,Somewhat liberal,Lean Democrat,0,,,
11/18/22 10:09,11/18/22 10:10,IP Address,100,69,TRUE,11/18/22 10:10,R_T6gBOThqb0jFSVP,,,,,39.7668,-86.4013,anonymous,EN,I consent to take part in this study,60bcefabcd5af65610403732,6,6,6,"I said that people today are MORE kind, honest, nice, and good today than people were 20 years ago",Political situations have made people against each other,,32,Male,Asian,Other,sky,Four-year college degree,Somewhat liberal,Lean Democrat,0,,,
11/18/22 10:08,11/18/22 10:10,IP Address,100,125,TRUE,11/18/22 10:10,R_3F5aA7jdc7Hn1FJ,,,,,29.5542,-95.7325,anonymous,EN,I consent to take part in this study,61083e50d5c3a0c8c5d9c10d,4,6,6,"I said that people today are LESS kind, honest, nice, and good today than people were 20 years ago",,"Stress, overload of things to worry about, safety feeling lacking caused by politicians",39,Female,American Indian or Alaska Native,Neither extroverted nor introverted,,Graduate school,Somewhat conservative,Lean Republican,3,2011,,
