StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,kindergarten,kindergarten_DO_1,kindergarten_DO_2,kindergarten_DO_3,kindergarten_DO_4,kindergarten_DO_5,zip,zip_DO_1,zip_DO_2,zip_DO_3,zip_DO_4,zip_DO_5,turkey,turkey_DO_1,turkey_DO_2,turkey_DO_3,turkey_DO_4,turkey_DO_5,consent,today,2010,2000,1990,manip_check,explain_more,explain_less,age,gender,race,language,language_2_TEXT,eng_comp,check,check_4_TEXT,education,kids,political_ideology,oldest_kid,comments
1/20/20 8:43,1/20/20 8:43,IP Address,100,16,TRUE,1/20/20 8:43,R_AyXmwfp4ToivUn7,,,,,35.88459778,-78.6384964,anonymous,EN,Third grade,5,4,2,1,3,2138,2,3,1,4,5,Eating turkey,3,1,4,2,5,,,,,,,,,,,,,,,,,,,,,
1/20/20 8:43,1/20/20 8:44,IP Address,100,22,TRUE,1/20/20 8:44,R_3fZeuQa9Te5pNmD,,,,,38.8605957,-76.9776001,anonymous,EN,Third grade,2,1,5,3,4,2138,4,1,5,2,3,Eating turkey,1,2,4,5,3,,,,,,,,,,,,,,,,,,,,,
1/20/20 8:43,1/20/20 8:44,IP Address,100,33,TRUE,1/20/20 8:44,R_2t4n7tDPYqt8Nlx,,,,,37.75100708,-97.8219986,anonymous,EN,Ninth Grade,4,3,5,1,2,112,5,4,3,2,1,Pumpkins,5,2,1,4,3,,,,,,,,,,,,,,,,,,,,,
1/20/20 8:43,1/20/20 8:44,IP Address,100,52,TRUE,1/20/20 8:44,R_2EoBR67aTdulxao,,,,,40.58850098,-75.46420288,anonymous,EN,Kindergarten,1,2,3,4,5,2138,5,2,3,4,1,Eating turkey,2,4,5,1,3,I consent to take part in this study,5,5,5,5,"People are equally kind, honest, nice, and good today compared to thirty years ago",,,47,Female,White,English,,Very Good,Neither extroverted nor introverted,,Associate's degree,2,Somewhat liberal,2001,
1/20/20 8:43,1/20/20 8:44,IP Address,100,65,TRUE,1/20/20 8:44,R_2c6qlpz5ToALtNU,,,,,35.32879639,-118.9748001,anonymous,EN,Kindergarten,5,4,1,2,3,2138,5,4,1,3,2,Eating turkey,4,2,1,5,3,I consent to take part in this study,5,5,5,5,"People are equally kind, honest, nice, and good today compared to thirty years ago",,,38,Male,White,English,,Very Good,Other,sky,Four-year college degree,0,Somewhat conservative,,
1/20/20 8:44,1/20/20 8:44,IP Address,100,20,TRUE,1/20/20 8:44,R_3NE3afzpT5WQ54M,,,,,40.70640564,-73.94730377,anonymous,EN,Fifth Grade,4,3,2,1,5,19,3,2,4,1,5,Eating turkey,2,3,5,1,4,,,,,,,,,,,,,,,,,,,,,
1/20/20 8:43,1/20/20 8:44,IP Address,100,52,TRUE,1/20/20 8:44,R_2RRkBeU25O3qqG9,,,,,38.3085022,-85.81600189,anonymous,EN,Ninth Grade,1,5,2,3,4,112,4,2,5,3,1,Eating turkey,2,5,3,4,1,,,,,,,,,,,,,,,,,,,,,
1/20/20 8:43,1/20/20 8:44,IP Address,100,76,TRUE,1/20/20 8:44,R_2sZlOmcv7dwCCSr,,,,,41.83070374,-71.39820099,anonymous,EN,Kindergarten,5,2,1,3,4,2138,4,5,3,1,2,Eating turkey,1,3,5,4,2,I consent to take part in this study,3,4,4,5,"People are LESS kind, honest, nice, and good today compared to thirty years ago",,The increased polarization of society and the rise of social media,29,Male,Asian,English,,Very Good,Other,sky,Four-year college degree,0,Somewhat liberal,,
1/20/20 8:43,1/20/20 8:44,IP Address,100,80,TRUE,1/20/20 8:44,R_1pAVxMXTxtAumx5,,,,,37.72200012,-122.164299,anonymous,EN,Kindergarten,4,5,1,2,3,2138,2,3,4,1,5,Eating turkey,5,4,2,1,3,I consent to take part in this study,5,5,5,5,"People are equally kind, honest, nice, and good today compared to thirty years ago",,,31,Female,More than 1 of the above,English,,Very Good,Other,sky,Graduate school,0,Very liberal,,
1/20/20 8:43,1/20/20 8:44,IP Address,100,77,TRUE,1/20/20 8:44,R_28H9kHr3Z1r5L4N,,,,,28.32989502,-82.28500366,anonymous,EN,Kindergarten,2,5,4,3,1,2138,3,4,2,1,5,Eating turkey,1,5,4,2,3,I consent to take part in this study,6,6,6,6,"People are equally kind, honest, nice, and good today compared to thirty years ago",,,32,Male,White,English,,Very Good,Other,sky,Some college,0,Neither liberal nor conservative,,
