StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific,footwear,footwear_DO,rsvp,rsvp_DO,elevator,elevator_DO,consent,birth_year,instruct1,instruct2,choice,estimate_1956,estimate_2017,check_1,check_2,age,gender,race,income,check_3,check_3_4_TEXT,education,kids,political_ideology,oldest_kid,comments
9/20/22 14:26,9/20/22 14:31,IP Address,100,315,TRUE,9/20/22 14:31,R_vTbMQWmQDRehozL,,,,,43.1661,-89.0796,anonymous,EN,61286af4797d61e693470f05,Bell bottoms,Flip-flops|High heels|Bell bottoms|Slippers|Sneakers,A wedding invitation,A diploma|A thank-you note|A wedding invitation|A diary|A restaurant bill,An elevator,A person|A pizza|An elevator|A book|An umbrella,I consent to take part in this study,1999,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,25,65,The person who chose to COOPERATE got nothing,They both got $30,23,Female,White,"$35,000 - $55,000",Other,shoe,Associate's degree,0,Very conservative,,
9/20/22 14:33,9/20/22 14:36,IP Address,100,189,TRUE,9/20/22 14:36,R_3M4LXRrJuG34N2D,,,,,41.8874,-87.6318,anonymous,EN,6110f69577a69b3404df4aa9,Bell bottoms,Slippers|High heels|Flip-flops|Bell bottoms|Sneakers,A wedding invitation,A wedding invitation|A diploma|A thank-you note|A diary|A restaurant bill,An elevator,An elevator|A book|A person|An umbrella|A pizza,I consent to take part in this study,1993,Yes,Yes,I think the percentage of people who chose to cooperate went up between 1956 and 2017,65,72,The person who chose to COOPERATE got nothing,They both got $30,29,Male,White,"$55,000 - $75,000",Other,Shoe,Four-year college degree,0,Somewhat liberal,,
9/20/22 14:36,9/20/22 14:38,IP Address,100,129,TRUE,9/20/22 14:38,R_3Ic8R6ZUNKPJ4hs,,,,,37.9824,-84.4797,anonymous,EN,6109881cd58ec9d648e19df0,Bell bottoms,Sneakers|Flip-flops|Bell bottoms|Slippers|High heels,A wedding invitation,A restaurant bill|A diary|A wedding invitation|A thank-you note|A diploma,An elevator,An elevator|A book|A pizza|An umbrella|A person,I consent to take part in this study,1986,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,30,The person who chose to COOPERATE got nothing,They both got $30,36,Female,White,"$35,000 - $55,000",Other,shoe,Graduate school,0,Neither liberal nor conservative,,
9/20/22 14:32,9/20/22 14:38,IP Address,100,323,TRUE,9/20/22 14:38,R_1IBnGxio72QOkX2,,,,,30.3007,-81.4421,anonymous,EN,6150cce0c62a1423bf29fc52,Bell bottoms,Slippers|Flip-flops|Sneakers|High heels|Bell bottoms,A wedding invitation,A thank-you note|A restaurant bill|A diary|A diploma|A wedding invitation,An elevator,An elevator|A person|An umbrella|A pizza|A book,I consent to take part in this study,1985,Yes,Yes,I think the percentage of people who chose to cooperate stayed the same between 1956 and 2017,100,100,The person who chose NOT TO COOPERATE got nothing,They both got $30,36,Female,White,"$75,000 - $95,000",Other,shoe,Associate's degree,0,Neither liberal nor conservative,,
9/20/22 14:32,9/20/22 14:42,IP Address,100,546,TRUE,9/20/22 14:42,R_1K1g7FrzCQ9Pcle,,,,,28.4883,-81.4061,anonymous,EN,5db2015c490e3d0009c4dc5e,Bell bottoms,Sneakers|High heels|Bell bottoms|Slippers|Flip-flops,A wedding invitation,A diary|A thank-you note|A wedding invitation|A diploma|A restaurant bill,An elevator,A person|A book|A pizza|An elevator|An umbrella,I consent to take part in this study,1954,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,90,60,The person who chose to COOPERATE got nothing,They both got $30,68,Female,White,"$95,000 - $150,000",Other,shoe,Associate's degree,2,Somewhat conservative,1993,No
9/20/22 14:40,9/20/22 14:42,IP Address,100,145,TRUE,9/20/22 14:42,R_XSywoN8te1yJC9z,,,,,37.751,-97.822,anonymous,EN,5f0907cacd2a9f194b21eda8,Bell bottoms,Flip-flops|Slippers|Sneakers|Bell bottoms|High heels,A wedding invitation,A restaurant bill|A wedding invitation|A diary|A thank-you note|A diploma,An elevator,An umbrella|A book|A person|An elevator|A pizza,I consent to take part in this study,1999,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,75,35,The person who chose to COOPERATE got nothing,They both got $30,22,Male,White,"$55,000 - $75,000",Other,Shoe,Some college,0,Neither liberal nor conservative,,
9/20/22 14:38,9/20/22 14:44,IP Address,100,344,TRUE,9/20/22 14:44,R_soneM6TAI4d7qNz,,,,,45.3102,-122.967,anonymous,EN,6168bf103be4a9dc6dee93c4,Bell bottoms,Bell bottoms|High heels|Slippers|Flip-flops|Sneakers,A wedding invitation,A diary|A diploma|A wedding invitation|A thank-you note|A restaurant bill,An elevator,A person|An umbrella|A pizza|A book|An elevator,I consent to take part in this study,2000,Yes,Yes,I think the percentage of people who chose to cooperate stayed the same between 1956 and 2017,65,65,The person who chose to COOPERATE got nothing,They both got $30,22,Male,White,"$15,000 - $35,000",Other,shoe,Some college,0,Very liberal,,
9/20/22 14:42,9/20/22 14:45,IP Address,100,207,TRUE,9/20/22 14:45,R_29bnCwoDcCF8NG6,,,,,30.2108,-84.3205,anonymous,EN,5e7913d548988f0c5bd98567,Bell bottoms,Slippers|High heels|Bell bottoms|Sneakers|Flip-flops,A wedding invitation,A diary|A wedding invitation|A thank-you note|A restaurant bill|A diploma,An elevator,A book|An umbrella|A pizza|A person|An elevator,I consent to take part in this study,2001,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,50,The person who chose to COOPERATE got nothing,They both got nothing,20,Male,White,"$35,000 - $55,000",Neither extroverted nor introverted,,Associate's degree,0,Somewhat liberal,,
9/20/22 14:41,9/20/22 14:46,IP Address,100,272,TRUE,9/20/22 14:46,R_3De9sekhfSZbBiK,,,,,37.9895,-121.8023,anonymous,EN,60da2bc39b7bd36aa9b9ba80,Bell bottoms,High heels|Bell bottoms|Sneakers|Slippers|Flip-flops,A wedding invitation,A wedding invitation|A restaurant bill|A diary|A thank-you note|A diploma,An elevator,A person|An elevator|An umbrella|A book|A pizza,I consent to take part in this study,1986,Yes,Yes,I think the percentage of people who chose to cooperate stayed the same between 1956 and 2017,85,85,The person who chose to COOPERATE got nothing,They both got $30,35,Male,Black or African-American,"$95,000 - $150,000",Other,Shoe,Four-year college degree,1,Neither liberal nor conservative,2012,None
9/20/22 14:45,9/20/22 14:47,IP Address,100,163,TRUE,9/20/22 14:47,R_24cU3bysbhfaKjx,,,,,38.812,-89.9627,anonymous,EN,6114059855d056bd766b1dd8,Bell bottoms,Sneakers|Slippers|High heels|Flip-flops|Bell bottoms,A wedding invitation,A restaurant bill|A wedding invitation|A diary|A thank-you note|A diploma,An elevator,A person|A book|An elevator|An umbrella|A pizza,I consent to take part in this study,1998,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,80,50,The person who chose to COOPERATE got nothing,They both got $30,24,Female,White,"$35,000 - $55,000",Other,shoe,Some college,0,Neither liberal nor conservative,,
9/20/22 14:45,9/20/22 14:49,IP Address,100,232,TRUE,9/20/22 14:49,R_3qJuhNVVAF6iapI,,,,,37.1661,-93.2458,anonymous,EN,5e82a76d09f66f9cd3aeb0e7,Bell bottoms,Flip-flops|High heels|Sneakers|Bell bottoms|Slippers,A wedding invitation,A diary|A wedding invitation|A restaurant bill|A thank-you note|A diploma,An elevator,A book|An elevator|An umbrella|A pizza|A person,I consent to take part in this study,1989,Yes,Yes,I think the percentage of people who chose to cooperate went down between 1956 and 2017,70,45,The person who chose to COOPERATE got nothing,They both got $30,32,Male,White,"$95,000 - $150,000",Other,shoe,Four-year college degree,2,Neither liberal nor conservative,2017,
