"","condition","study_order","BL_adhere_1","BL_avoid_1","BL_avoid_2","BL_avoid_3","motiv_1","motiv_2","motiv_3","motiv_4","motiv_5","motiv_6","motiv_7","motiv_8","defy_1","defy_2","defy_3","defy_4","intention_1w","avoid_1w_1","avoid_1w_2","avoid_1w_3","intention_6m","avoid_6m_1","avoid_6m_2","avoid_6m_3","avoid_6m_4","avoid_6m_5","avoid_6m_6","avoid_6m_7","manip_1","r_manip_2","r_manip_3","age","gender","educ","essen_job","COUNID","month"
"1","no_message","003_only",4,3,1,4,5,4,3,3,3,4,3,6,5,6,7,3,5,5,4,5,9,10,14,17,20,22,3,8,4,5,4,18,"Male",2,NA,NA,"April"
"2","controlling_message","003_only",7,7,7,7,1,7,3,7,1,2,7,7,1,5,2,1,7,7,7,6,24,24,24,24,24,24,24,24,1,1,6,42,"Male",5,1,"GBR","April"
"3","no_message","003_only",7,7,7,7,1,5,3,7,6,1,5,7,7,7,3,5,7,6,7,6,24,24,24,24,24,24,6,6,7,7,7,18,"Female",NA,2,"USA","April"
"4","controlling_message","003_only",7,7,7,7,1,7,7,6,5,5,7,7,1,1,1,1,6,6,7,7,24,24,24,24,24,24,24,24,1,1,4,19,"Male",NA,NA,"USA","April"
"5","controlling_message","003_only",6,1,2,1,2,7,6,7,6,4,7,7,1,1,1,1,7,7,7,7,24,0,24,24,24,24,24,24,2,1,5,19,"Female",3,NA,"USA","April"
"6","no_message","003_only",6,7,4,1,1,1,1,1,5,1,1,7,7,7,4,1,6,6,6,6,2,10,2,10,10,10,10,0,1,1,1,19,"Male",NA,3,"USA","April"
"7","no_message","003_only",1,1,7,7,1,1,1,1,1,1,2,4,7,7,6,7,1,1,7,7,0,13,0,24,24,20,10,24,1,1,1,18,"Male",NA,NA,"USA","April"
"8","autonomy_message","003_only",6,7,7,7,6,7,7,7,6,6,7,7,3,6,5,1,7,7,7,7,24,24,24,24,24,24,24,24,1,3,7,20,"Female",NA,NA,"GBR","April"
"9","no_message","003_only",4,4,4,5,4,4,4,4,4,4,4,4,1,6,4,4,4,4,4,4,4,6,6,6,6,6,12,6,4,4,4,22,"Male",NA,NA,"USA","April"
"10","autonomy_message","003_only",6,2,1,1,5,7,6,5,7,5,6,7,3,4,3,1,6,5,7,7,24,24,0,24,24,24,24,24,5,1,5,19,"Female",NA,NA,"USA","April"
"11","autonomy_message","003_only",5,4,4,1,4,4,4,4,4,5,5,4,4,4,4,4,4,4,1,2,20,5,0,24,24,24,24,24,4,5,5,19,"Female",NA,NA,"USA","April"
"12","no_message","003_only",7,1,1,2,5,6,6,7,5,1,7,4,6,5,6,5,7,2,1,2,21,21,21,21,21,21,21,21,5,3,3,18,"Male",NA,NA,"USA","April"
"13","no_message","003_only",7,7,7,7,1,7,7,7,1,1,7,7,1,4,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,7,7,19,"Male",NA,3,"USA","April"
"14","autonomy_message","003_only",6,5,7,6,6,5,6,5,6,5,7,6,4,4,6,5,6,6,2,6,14,17,2,4,17,4,16,16,5,3,3,20,"Female",NA,NA,"USA","April"
"15","autonomy_message","003_only",6,1,1,1,6,7,7,7,4,1,7,7,4,4,2,4,6,7,7,7,12,12,8,20,12,12,8,12,5,7,3,22,"Female",NA,NA,"USA","April"
"16","no_message","003_only",7,7,7,7,5,7,7,7,1,2,7,7,1,2,4,1,7,7,7,7,24,24,24,24,24,24,24,24,5,7,7,21,"Male",4,NA,"USA","April"
"17","controlling_message","003_only",6,6,2,2,4,5,5,5,5,5,5,6,5,5,5,5,6,6,6,6,8,3,3,12,11,4,3,3,2,2,2,18,"Female",NA,NA,"USA","April"
"18","autonomy_message","003_only",6,7,7,6,7,7,7,7,5,7,7,7,1,1,1,1,7,7,7,4,24,24,12,24,24,0,24,24,4,1,7,21,"Male",3,NA,"USA","April"
"19","controlling_message","003_only",6,5,6,7,6,7,7,7,6,6,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,5,5,20,"Female",4,NA,"USA","April"
