condition,labID,exclude,BL_adhere_1,BL_avoid_1,BL_avoid_2,BL_avoid_3,motiv_1,motiv_2,motiv_3,motiv_4,motiv_5,motiv_6,motiv_7,motiv_8,defy_1,defy_2,defy_3,defy_4,intention_1w,avoid_1w_1,avoid_1w_2,avoid_1w_3,intention_6m,avoid_6m_1,avoid_6m_2,avoid_6m_3,avoid_6m_4,avoid_6m_5,avoid_6m_6,avoid_6m_7,manip_1,r_manip_2,r_manip_3,age,gender,educ,essen_job,COUNID,month
1,1,0,7,7,7,7,4,7,6,7,2,4,5,7,1,1,1,1,7,7,7,7,0,NA,NA,NA,NA,NA,NA,NA,5,6,6,34,2,7,2,GBR,April
1,1,0,7,7,7,7,5,7,7,7,1,5,7,7,1,1,1,1,7,7,7,7,0,NA,NA,NA,NA,NA,NA,NA,6,7,7,34,2,5,2,GBR,April
1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,7,2,7,6,7,2,2,7,7,1,2,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,7,7,67,2,2,2,GBR,April
1,1,0,7,7,7,7,6,7,7,7,1,7,6,7,1,1,1,1,7,7,7,7,24,12,12,24,24,24,12,24,6,7,7,34,2,5,2,GBR,April
3,1,0,7,7,7,7,4,6,7,7,5,4,6,7,2,2,4,2,7,7,7,7,24,24,24,24,24,24,24,24,5,5,4,41,2,5,2,GBR,April
3,1,0,7,7,7,7,5,7,7,7,5,6,7,7,1,5,5,2,7,7,7,7,24,24,24,24,24,24,24,24,5,3,6,33,2,5,2,GBR,April
2,1,0,7,7,7,6,5,5,2,6,6,5,2,7,2,2,2,1,7,7,7,7,24,24,24,24,24,24,24,24,6,1,2,31,2,4,2,GBR,April
1,1,0,6,6,7,6,7,5,7,5,7,7,5,6,4,4,4,4,7,6,7,7,6,4,2,10,10,8,20,10,5,4,4,29,2,5,2,GBR,April
2,1,0,6,7,6,7,5,6,6,6,6,6,6,6,2,7,2,2,7,7,7,7,12,12,12,12,12,12,12,12,4,1,2,47,1,5,2,GBR,April
3,1,0,7,7,7,7,4,7,7,7,4,7,7,7,1,1,1,1,7,7,7,7,12,12,12,20,12,15,12,12,6,4,2,60,2,4,2,GBR,April
2,1,0,7,1,6,1,1,7,6,7,1,1,7,7,1,1,1,1,6,1,6,6,24,24,24,0,0,24,24,24,7,1,2,49,1,3,1,GBR,April
3,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,5,3,3,73,2,2,2,GBR,April
2,1,0,7,1,1,1,6,6,6,6,4,6,6,6,2,4,2,2,7,7,7,7,24,24,24,24,24,24,24,24,6,6,6,49,1,3,2,GBR,April
3,1,0,7,1,3,7,6,6,6,7,1,6,6,7,2,2,2,2,7,1,1,5,24,24,24,NA,24,NA,24,24,7,7,7,52,2,2,1,GBR,April
1,1,0,7,7,7,7,6,7,7,7,4,4,6,6,1,5,1,2,7,7,7,7,24,24,12,12,12,24,12,24,6,3,6,NA,2,3,2,GBR,April
2,1,0,7,7,7,7,5,5,5,6,6,5,6,7,3,3,2,2,7,7,7,7,24,24,24,24,24,24,24,24,2,2,4,57,1,3,2,GBR,April
3,1,0,7,1,1,1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,24,NA,24,NA,24,NA,NA,NA,NA,NA,NA,55,2,2,1,GBR,April
1,1,0,7,7,7,6,4,6,5,6,6,3,6,7,1,2,2,2,7,7,7,6,24,24,24,24,24,3,8,24,2,6,5,29,2,5,2,GBR,April
1,1,0,7,7,7,7,2,6,6,7,7,2,7,7,1,1,1,1,7,7,6,7,NA,24,24,24,24,24,24,24,2,7,7,56,2,2,1,GBR,April
3,1,0,7,7,7,7,7,7,7,7,2,7,7,7,2,2,2,2,7,7,7,7,24,24,24,24,24,24,24,24,5,6,2,55,2,5,2,GBR,April
3,1,0,7,1,1,1,7,7,6,7,2,2,2,7,1,2,2,2,7,1,1,1,24,24,24,24,24,24,24,24,2,7,7,58,2,3,2,GBR,April
1,1,0,7,7,7,6,7,6,6,7,5,7,6,7,2,2,3,2,7,7,7,6,24,20,16,24,24,4,16,24,5,4,3,52,2,3,2,GBR,April
2,1,0,7,7,7,6,6,7,6,5,3,6,5,7,1,3,2,2,7,7,7,6,24,24,24,24,24,18,24,24,1,2,3,32,2,5,2,GBR,April
3,1,0,7,7,7,7,7,6,7,7,7,7,7,7,1,2,2,2,7,7,7,7,24,24,24,24,24,24,24,24,3,6,6,36,2,4,1,GBR,April
1,1,0,7,7,7,7,4,7,7,7,2,7,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,6,7,7,54,2,4,1,GBR,April
3,1,0,7,7,7,7,7,7,7,7,1,4,7,7,1,1,1,1,7,7,7,7,NA,24,24,24,24,24,24,24,7,6,7,67,2,3,1,GBR,April
2,1,0,7,7,7,7,6,6,5,6,5,6,6,6,2,2,2,2,7,7,7,7,NA,18,12,12,18,24,18,18,6,6,4,35,1,5,2,GBR,April
1,1,0,7,7,7,5,7,7,7,7,5,7,7,7,1,2,1,1,7,7,7,6,24,24,24,24,24,4,24,24,3,7,7,25,2,5,2,GBR,April
3,1,0,7,7,7,7,6,6,6,6,5,5,6,6,2,4,5,1,7,7,7,7,24,24,24,24,24,24,24,24,2,2,3,34,2,4,1,GBR,April
2,1,0,6,7,7,7,7,7,7,7,4,7,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,12,24,1,2,7,52,2,5,1,GBR,April
1,1,0,7,1,1,1,4,6,6,7,2,4,7,6,2,2,2,2,7,7,7,7,6,8,8,6,8,8,24,8,3,6,3,52,2,4,2,GBR,April
3,1,0,6,7,7,7,4,6,4,7,2,6,6,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,7,7,7,56,2,5,2,GBR,April
3,1,0,7,7,7,7,6,5,7,6,5,6,6,7,4,6,4,5,7,7,7,7,24,24,24,24,24,24,24,24,1,7,7,69,1,3,2,GBR,April
2,1,0,7,7,7,7,3,7,7,7,2,2,5,7,1,5,5,1,7,7,7,7,24,24,24,24,24,24,24,24,3,3,3,57,2,3,2,GBR,April
1,1,0,7,7,7,7,7,7,6,7,4,2,7,7,1,1,1,1,7,7,7,7,24,24,24,24,24,24,24,24,6,7,6,46,1,4,1,GBR,April
1,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,6,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,7,6,6,6,7,2,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,6,6,6,6,6,6,6,7,5,6,6,7,1,2,1,1,7,6,7,6,24,24,12,24,24,4,4,24,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,7,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
2,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
3,1,0,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GBR,April
1,1,0,7,7,7,7,5,6,7,7,5,6,7,7,5,2,2,2,7,7,7,7,24,24,24,24,24,24,24,24,6,3,3,49,2,3,2,GBR,April
2,1,0,6,1,1,2,5,7,6,7,6,5,6,7,4,4,5,5,7,7,7,7,24,16,18,24,24,12,24,24,2,2,3,49,1,5,2,GBR,April
3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,GBR,April
