ResponseId,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Common difference,Subadditivity,Delay-speedup,Interval markup,Risk preference,Q22_2,Q22_3,Q22_4,Q22_5,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35
AD1,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $500 right now,,,Paying $500 right now,Paying $500 right now,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $1100 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",A 25% chance of $200 (75% chance of $0),159,187,284,370,Two extra weeks of vacation with no change in salary in 2029,Things will be somewhat worse,I paid everything and saved some,46067,35777,47593,My financial situation became much better,I pay off any balances every month,Around average,1955,Prefer not to answer,Secondary school (high school),Full-time student,"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White",Immigrant
AD2,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $1100 in 24 months (2 years),Receiving $500 in 12 months (1 year),"$5,000 right now",Guaranteed $50,150,49,80,721,One extra week of salary for no additional work in 2030,Things will be somewhat worse,I had to take on some debt to pay them,45651,36999,41677,My financial situation became much better,My debts increase beyond what I earn in a given month,Poor,1978,Other,Primary school,Not in paid employment (by choice),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White",Non-Hispanic
AD3,Receiving $550 in 12 months,,,Receiving $500 right now,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $450 right now,"$5,000 right now",A 75% chance of $67 (25% chance of $0),241,159,249,351,Two extra weeks of salary with no additional work in 2053,Things will be much better,I paid everything and saved some,45614,19071,39691,My financial situation became somewhat better,I generally pay off the interest but not the balance,Poor,1998,Woman,Graduate (Masters or equivalent),Employed full-time (25+ hours per week),"Asian,Black or African-American,Native American,Native Hawaiian,Pacific Islander",Hispanic
AD4,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $250 right now,$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),67,199,219,515,Two extra weeks of vacation with no change in salary in 2054,Things will be somewhat better,I had to take on some debt to pay them,40942,15106,42195,My financial situation became much worse,My debts increase beyond what I earn in a given month,Wealthy,1968,Woman,College or university (Bachelor or equivalent),Not in paid employment (by choice),"Asian,Native American,Pacific Islander,White","Hispanic,Immigrant"
AD5,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $750 in 12 months,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $250 right now,"$6,000 in 12 months",A 75% chance of $67 (25% chance of $0),244,99,273,384,One extra week of salary for no additional work in 2053,Things will be much better,I could not pay all my bills last month,37066,30545,29804,My financial situation became much better,I pay off much of the balance,Wealthy,1975,Prefer not to answer,Primary school,Employed full-time (25+ hours per week),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Non-Hispanic,Immigrant"
AD6,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 50% chance of $100 (50% chance of $0),238,114,31,617,One extra week of vacation for no change in salary in 2053,Things will be about the same,I had to take on some debt to pay them,45589,46248,27928,My financial situation became somewhat better,I make the minimum payment and the interest is charged,Wealthy,1997,Woman,Secondary school (high school),Not in paid employed (looking for work),"Black or African-American,Native Alaskan,Native American,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD7,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),$500 per month for 12 months,A 25% chance of $200 (75% chance of $0),60,47,252,641,Two extra weeks of salary with no additional work in 2054,Things will be much better,I could not pay all my bills last month,34018,39409,44324,My financial situation became much better,I make the minimum payment and the interest is charged,Poor,1937,Prefer not to answer,Vocational school,Employed part-time (less than 25 hours per week),"Asian,Black or African-American,Native Alaskan,Native American,Native Hawaiian,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD8,Receiving $500 right now,Receiving $600 in 12 months,,,,Paying $550 in 12 months,Paying $600 in 12 months,Paying $500 right now,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $400 right now,"$5,000 right now",Guaranteed $50,71,116,67,746,Two extra weeks of vacation with no change in salary in 2055,Things will be much worse,I paid everything but saved nothing,25831,15250,49898,My financial situation became much worse,I pay off any balances every month,Poor,1976,Woman,College or university (Bachelor or equivalent),Full-time student,"Asian,Black or African-American,Native American,Pacific Islander,White","Hispanic,Non-Hispanic,Immigrant"
AD9,Receiving $500 right now,Receiving $500 right now,Receiving $750 in 12 months,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$6,000 in 12 months",Guaranteed $50,183,83,56,678,One extra week of salary for no additional work in 2054,Things will be much better,I had to take on some debt to pay them,25469,38059,47316,My financial situation became much worse,I pay off much of the balance,Poor,1978,Woman,MBA,Full-time student,"Asian,Black or African-American,Native American,Native Hawaiian,Pacific Islander,White",Immigrant
AD10,Receiving $500 right now,Receiving $500 right now,Receiving $500 right now,,,Paying $550 in 12 months,Paying $500 right now,,,,Receiving $5000 right now,Receiving $6000 in 12 months,,,,Receiving $500 in 12 months (1 year),Receiving $500 right now,Receiving $500 in 12 months (1 year),"$5,000 right now",A 50% chance of $100 (50% chance of $0),161,86,81,672,One extra week of vacation for no change in salary in 2054,Things will be about the same,I could not pay all my bills last month,16373,33707,14732,My financial situation became much better,I pay off any balances every month,Poor,1931,Man,Vocational school,Employed part-time (less than 25 hours per week),"Black or African-American,Native Alaskan,White",Non-Hispanic
